                  T9                Rate
               0.001                   0
               0.002                   0
               0.003                   0
               0.004                   0
               0.005                   0
               0.006                   0
               0.007                   0
               0.008                   0
               0.009                   0
                0.01                   0
               0.011                   0
               0.012                   0
               0.013                   0
               0.014                   0
               0.015                   0
               0.016                   0
               0.018                   0
                0.02                   0
               0.025                   0
                0.03                   0
                0.04        1.84252e-223
                0.05        5.25706e-181
                0.06        1.72301e-152
                0.07        5.60261e-132
                0.08        1.72222e-116
                0.09        2.29125e-104
                 0.1         1.31825e-94
                0.11         1.42552e-86
                0.12         7.73884e-80
                0.13           4.172e-74
                0.14         3.64055e-69
                0.15         7.36491e-65
                0.16         4.52556e-61
                0.18         1.04758e-54
                 0.2         1.46594e-49
                0.25         3.89674e-40
                 0.3         1.16962e-33
                0.35         1.24424e-28
                 0.4         2.01338e-24
                0.45         4.95045e-21
                 0.5         2.64627e-18
                 0.6         3.25547e-14
                 0.7         2.67246e-11
                 0.8         4.05922e-09
                 0.9         2.01236e-07
                   1         4.57396e-06
                1.25          0.00128945
                 1.5           0.0577745
                1.75            0.916259
                   2             7.62028
                 2.5             163.449
                   3             1374.29
                 3.5             6590.09
                   4             21884.3
                   5              120878
                   6              381917
                   7              870086
                   8         1.61281e+06
                   9         2.60656e+06
                  10         3.83012e+06
