,Run,Detector,Yield,Yield err,Fit Status,Ea
0,run0159,det_h0-0,0.00510488,0.000293822,0,5440.81634040209
1,run0159,det_h0-1,0.0045313,0.000275222,0,5440.81634040209
2,run0159,det_h0-2,0.00262976,0.00025173700000000003,0,5440.81634040209
3,run0159,det_h0-3,0.00425888,0.000298042,0,5440.81634040209
4,run0159,det_h0-4,0.00357591,0.000280143,0,5440.81634040209
5,run0159,det_h0-5,0.00482535,0.000311115,0,5440.81634040209
6,run0159,det_h0-6,0.00490843,0.000300181,0,5440.81634040209
7,run0159,det_h0-7,0.00363675,0.00027430900000000003,0,5440.81634040209
8,run0159,det_h1-0,0.00360884,0.000273898,0,5440.81634040209
9,run0159,det_h1-1,0.00338689,0.000268901,0,5440.81634040209
10,run0159,det_h1-2,0.00216432,0.00024529099999999997,0,5440.81634040209
11,run0159,det_h1-3,0.00427679,0.00028977,0,5440.81634040209
12,run0159,det_h1-4,0.0055666000000000005,0.000302896,0,5440.81634040209
13,run0160,det_h0-0,0.00390999,0.00022810099999999998,0,5414.07835333669
14,run0160,det_h0-1,0.00363871,0.00021883900000000002,0,5414.07835333669
15,run0160,det_h0-2,0.00136553,0.00017959,0,5414.07835333669
16,run0160,det_h0-3,0.00271068,0.00021900900000000002,0,5414.07835333669
17,run0160,det_h0-4,0.00311916,0.00024055,0,5414.07835333669
18,run0160,det_h0-5,0.00313379,0.000236492,0,5414.07835333669
19,run0160,det_h0-6,0.00324217,0.000225619,0,5414.07835333669
20,run0160,det_h0-7,0.00255629,0.00022393400000000001,0,5414.07835333669
21,run0160,det_h1-0,0.00285976,0.00022611400000000002,0,5414.07835333669
22,run0160,det_h1-1,0.00278225,0.000219299,0,5414.07835333669
23,run0160,det_h1-2,0.00167206,0.000199038,0,5414.07835333669
24,run0160,det_h1-3,0.00367875,0.000243104,0,5414.07835333669
25,run0160,det_h1-4,0.00357776,0.00022845599999999998,0,5414.07835333669
26,run0161,det_h0-0,0.00316799,0.00021350200000000002,0,5403.41451924703
27,run0161,det_h0-1,0.00300509,0.000204658,0,5403.41451924703
28,run0161,det_h0-2,0.00139361,0.000180455,0,5403.41451924703
29,run0161,det_h0-3,0.00196877,0.000202759,0,5403.41451924703
30,run0161,det_h0-4,0.0022075,0.00020952299999999998,0,5403.41451924703
31,run0161,det_h0-5,0.00244361,0.00022585900000000002,0,5403.41451924703
32,run0161,det_h0-6,0.00266126,0.000215927,0,5403.41451924703
33,run0161,det_h0-7,0.00190973,0.000199238,0,5403.41451924703
34,run0161,det_h1-0,0.00227687,0.00021133099999999999,0,5403.41451924703
35,run0161,det_h1-1,0.00237581,0.000197,0,5403.41451924703
36,run0161,det_h1-2,0.00111592,0.000169937,0,5403.41451924703
37,run0161,det_h1-3,0.0024828000000000003,0.000207085,0,5403.41451924703
38,run0161,det_h1-4,0.00350263,0.00021449599999999997,0,5403.41451924703
39,run0162,det_h0-0,0.00310956,0.000213313,0,5393.08387099751
40,run0162,det_h0-1,0.0029728000000000003,0.00021092900000000003,0,5393.08387099751
41,run0162,det_h0-2,0.00116809,0.00017453,0,5393.08387099751
42,run0162,det_h0-3,0.00215892,0.000211171,0,5393.08387099751
43,run0162,det_h0-4,0.00211936,0.000223818,0,5393.08387099751
44,run0162,det_h0-5,0.00214793,0.00022281599999999998,0,5393.08387099751
45,run0162,det_h0-6,0.00289357,0.00022668099999999998,0,5393.08387099751
46,run0162,det_h0-7,0.00178584,0.000211163,0,5393.08387099751
47,run0162,det_h1-0,-0.00087989,0.000225004,0,5393.08387099751
48,run0162,det_h1-1,0.00230237,0.000201363,0,5393.08387099751
49,run0162,det_h1-2,0.000981633,0.00016663799999999999,0,5393.08387099751
50,run0162,det_h1-3,0.00257491,0.00022146,0,5393.08387099751
51,run0162,det_h1-4,0.0030128,0.00021725799999999999,0,5393.08387099751
52,run0165,det_h0-0,0.00987962,0.000346623,0,5383.34338821273
53,run0165,det_h0-1,0.00735687,0.000309133,0,5383.34338821273
54,run0165,det_h0-2,0.00482166,0.000270226,0,5383.34338821273
55,run0165,det_h0-3,0.00981229,0.000351123,0,5383.34338821273
56,run0165,det_h0-4,0.00939883,0.00034477900000000003,0,5383.34338821273
57,run0165,det_h0-5,0.00856568,0.000339741,0,5383.34338821273
58,run0165,det_h0-6,0.00724841,0.00031617799999999997,0,5383.34338821273
59,run0165,det_h0-7,0.00819069,0.000327377,0,5383.34338821273
60,run0165,det_h1-0,0.00808997,0.000324848,0,5383.34338821273
61,run0165,det_h1-1,0.00801213,0.000316592,0,5383.34338821273
62,run0165,det_h1-2,0.0035203000000000005,0.000264636,0,5383.34338821273
63,run0165,det_h1-3,0.00891635,0.000339934,0,5383.34338821273
64,run0165,det_h1-4,0.00979808,0.00035005400000000003,0,5383.34338821273
65,run0167,det_h0-0,0.00889095,0.00028714,0,5383.34338821273
66,run0167,det_h0-1,0.00847701,0.000276348,0,5383.34338821273
67,run0167,det_h0-2,0.00372233,0.000214427,0,5383.34338821273
68,run0167,det_h0-3,0.0074025,0.00028486799999999997,0,5383.34338821273
69,run0167,det_h0-4,0.00794229,0.000289238,0,5383.34338821273
70,run0167,det_h0-5,0.00834086,0.00029989999999999997,0,5383.34338821273
71,run0167,det_h0-6,0.00903453,0.000300082,0,5383.34338821273
72,run0167,det_h0-7,0.00787323,0.000287788,0,5383.34338821273
73,run0167,det_h1-0,0.00748237,0.00028194900000000003,0,5383.34338821273
74,run0167,det_h1-1,0.00739271,0.000274417,0,5383.34338821273
75,run0167,det_h1-2,0.00357416,0.000211267,0,5383.34338821273
76,run0167,det_h1-3,0.00765011,0.000280365,0,5383.34338821273
77,run0167,det_h1-4,0.00928054,0.000294902,0,5383.34338821273
78,run0168,det_h0-0,0.033356199999999996,0.000604001,0,5373.41845414069
79,run0168,det_h0-1,0.0316462,0.000585696,0,5373.41845414069
80,run0168,det_h0-2,0.013878399999999999,0.00040947199999999997,0,5373.41845414069
81,run0168,det_h0-3,0.0259151,0.000563749,0,5373.41845414069
