                  T9                Rate
               0.001                   0
               0.002                   0
               0.003                   0
               0.004                   0
               0.005                   0
               0.006                   0
               0.007                   0
               0.008                   0
               0.009                   0
                0.01                   0
               0.011                   0
               0.012                   0
               0.013                   0
               0.014                   0
               0.015                   0
               0.016                   0
               0.018                   0
                0.02                   0
               0.025                   0
                0.03                   0
                0.04                   0
                0.05                   0
                0.06        1.81879e-222
                0.07        7.44785e-192
                0.08        8.50798e-169
                0.09        8.65783e-151
                 0.1        2.51495e-136
                0.11        1.90256e-124
                0.12        1.64133e-114
                0.13        4.49731e-106
                0.14         8.14567e-99
                0.15         1.67113e-92
                0.16         5.81891e-87
                0.18         1.11255e-77
                 0.2         3.30998e-70
                0.25         1.30323e-56
                 0.3         2.09896e-47
                0.35         1.00444e-40
                 0.4         1.23224e-35
                0.45         1.30548e-31
                 0.5         2.51673e-28
                 0.6         3.23222e-23
                 0.7         2.25413e-19
                 0.8         2.32581e-16
                 0.9         6.17712e-14
                   1         5.95847e-12
                1.25         2.63504e-08
                 1.5         7.67143e-06
                1.75         0.000451387
                   2          0.00965509
                 2.5            0.702926
                   3             12.1171
                 3.5             91.2392
                   4              408.84
                   5             3226.45
                   6             12354.8
                   7             31419.3
                   8             62068.2
                   9              103873
                  10              155074
