Run,Detector,Yield,Yield_err,Fit Status
run0170,det_h1-2,0.00373674,0.00270426,0
run0170,det_h1-3,1.28564,0.0457555,0
run0170,det_h1-4,1.3537,0.0454173,0
run0171,det_h0-0,0.866828,0.0577876,0
run0171,det_h0-1,1.02606,0.0507561,0
run0171,det_h0-2,0.510506,0.117525,0
run0171,det_h0-3,0.781702,0.0950165,0
run0171,det_h0-4,1.28431,0.0368012,0
run0171,det_h0-5,0.981305,0.0963488,0
run0171,det_h0-6,1.61992,0.0350871,1
run0171,det_h0-7,0.790533,0.138663,0
run0171,det_h1-0,1.20174,0.0354513,0
run0171,det_h1-1,7.54937E-15,0.000211134,1
run0171,det_h1-2,0.357228,0.110428,0
run0171,det_h1-3,0.719773,0.191977,0
run0171,det_h1-4,1.80747,0.0397508,0
run0172,det_h0-0,1.24709,0.027652,0
run0172,det_h0-1,0.881105,0.0414203,0
run0172,det_h0-2,0.626499,0.0203776,0
run0172,det_h0-3,1.05328,0.040655,0
run0172,det_h0-4,1.15462,0.0322069,0
run0172,det_h0-5,1.34545,0.0349863,0
run0172,det_h0-6,1.2687,0.0289221,0
run0172,det_h0-7,1.10797,0.0303887,0
run0172,det_h1-0,1.05332,0.0313698,0
run0172,det_h1-1,0.816976,0.031743,0
run0172,det_h1-2,0.750642,0.024937,0
run0172,det_h1-3,0.555247,0.100739,0
run0172,det_h1-4,1.38859,0.0467546,0
run0173,det_h0-0,0.789481,0.0444307,0
run0173,det_h0-1,1.21186,0.0619113,0
run0173,det_h0-2,0.559555,0.0228212,0
run0173,det_h0-3,0.74821,0.0617862,0
run0173,det_h0-4,0.985897,0.0411365,0
run0173,det_h0-5,1.01866,0.0663007,0
run0173,det_h0-6,1.06629,0.0563104,0
run0173,det_h0-7,1.06228,0.0333734,0
run0173,det_h1-0,0.95037,0.041662,0
run0173,det_h1-1,0.759162,0.0320145,0
run0173,det_h1-2,0.179671,0.0429706,0
run0173,det_h1-3,0.835764,0.111849,0
run0173,det_h1-4,1.28546,0.0689524,0
run0174,det_h0-0,1.33297,0.0347673,0
run0174,det_h0-1,1.38189,0.0794086,0
run0174,det_h0-2,0.339865,0.100149,0
run0174,det_h0-3,0.834007,0.0835333,0
run0174,det_h0-4,1.19631,0.0343102,0
run0174,det_h0-5,1.50719,0.0387949,0
run0174,det_h0-6,1.37977,0.05232,0
run0174,det_h0-7,1.23965,0.0395222,0
run0174,det_h1-0,1.10073,0.0382099,0
run0174,det_h1-1,0.894621,0.052451,0
run0174,det_h1-2,0.611968,0.0499138,0
run0174,det_h1-3,1.1217,0.138145,0
run0174,det_h1-4,1.4475,0.0904393,0
run0175,det_h0-0,1.47595,0.0481417,0
run0175,det_h0-1,0.950193,0.073592,0
run0175,det_h0-2,0.381377,0.0752618,0
run0175,det_h0-3,0.652925,0.122712,0
run0175,det_h0-4,3.5288E-09,0.0236703,0
run0175,det_h0-5,1.51079,0.0631477,0
run0175,det_h0-6,1.57482,0.0419404,0
run0175,det_h0-7,1.18537E-12,0.00829202,0
run0175,det_h1-0,1.34469,0.0356726,0
run0175,det_h1-1,0.675153,0.192742,0
run0175,det_h1-2,7.05023E-13,0.0380214,0
run0175,det_h1-3,1.10765,0.395215,0
run0175,det_h1-4,1.46174,0.131249,0
run0176,det_h0-0,3.40429E-13,0.0177051,0
run0176,det_h0-1,1.66604,0.107553,0
run0176,det_h0-2,0.445699,0.0899982,0
run0176,det_h0-3,1.28306,0.0462241,0
run0176,det_h0-4,0.572035,0.107046,0
run0176,det_h0-5,1.72388,0.0532936,0
run0176,det_h0-6,1.64835,0.0465371,0
run0176,det_h0-7,4.29187E-11,0.0198367,0
run0176,det_h1-0,1.30718,0.0520613,0
run0176,det_h1-1,0.978696,0.0716347,0
run0176,det_h1-2,0.849482,0.0433739,0
run0176,det_h1-3,0.904464,0.490262,0
run0176,det_h1-4,1.78513,0.058301,0
run0177,det_h0-0,0.978507,0.100501,0
run0177,det_h0-1,1.7224,0.0739552,0
run0177,det_h0-2,0.537822,0.0485176,0
run0177,det_h0-3,1.0581,0.0519364,0
run0177,det_h0-4,1.26407,0.0549906,0
run0177,det_h0-5,1.41942,0.193278,0
run0177,det_h0-6,1.29909,0.135211,0
run0177,det_h0-7,1.04773,0.231936,0
run0177,det_h1-0,1.19382,0.040555,0
run0177,det_h1-1,0.978228,0.0730743,0
run0177,det_h1-2,1.55965E-10,0.0634317,0
run0177,det_h1-3,0.00750382,0.0189915,0
run0177,det_h1-4,1.57918,0.056393,0
run0178,det_h0-0,0.77379,0.0940261,0
run0178,det_h0-1,0.738059,0.0978467,0
