Run,Detector,Yield,Yield err,Fit Status
run0159,det_h0-0,0.00554742,0.000260129,0
run0159,det_h0-1,0.00503976,0.000245493,0
run0159,det_h0-2,0.00310349,0.000300913,0
run0159,det_h0-3,0.00462719,0.00029153,0
run0159,det_h0-4,0.004097,0.000261018,0
run0159,det_h0-5,0.00514119,0.000300969,0
run0159,det_h0-6,0.0052488,0.000269765,0
run0159,det_h0-7,0.00405355,0.000266075,0
run0159,det_h1-0,0.00387751,0.000260711,0
run0159,det_h1-1,0.00386688,0.000255719,0
run0159,det_h1-2,0.00302462,0.000319212,0
run0159,det_h1-3,0.00479285,0.000295685,0
run0159,det_h1-4,0.00617117,0.000301299,0
run0160,det_h0-0,0.00447557,0.000202948,0
run0160,det_h0-1,0.00406588,0.000205118,0
run0160,det_h0-2,0.00174888,0.000178863,0
run0160,det_h0-3,0.00328817,0.000228728,0
run0160,det_h0-4,0.0035997,0.000239938,0
run0160,det_h0-5,0.00373229,0.0002541,0
run0160,det_h0-6,0.00354395,0.000217455,0
run0160,det_h0-7,0.00305025,0.000223517,0
run0160,det_h1-0,0.00339848,0.00023222,0
run0160,det_h1-1,0.00310468,0.000216517,0
run0160,det_h1-2,0.00229709,0.000212974,0
run0160,det_h1-3,0.00412329,0.000259598,0
run0160,det_h1-4,0.00409655,0.000225827,0
run0161,det_h0-0,0.00368355,0.000189102,0
run0161,det_h0-1,0.0035228,0.000186206,0
run0161,det_h0-2,0.00180804,0.000200032,0
run0161,det_h0-3,0.00260092,0.000203432,0
run0161,det_h0-4,0.00264643,0.000203408,0
run0161,det_h0-5,0.0030322,0.000230463,0
run0161,det_h0-6,0.00322572,0.000200322,0
run0161,det_h0-7,0.00260689,0.000260539,0
run0161,det_h1-0,0.00274036,0.00022082,0
run0161,det_h1-1,0.00275165,0.000197893,0
run0161,det_h1-2,0.00170616,0.000183361,0
run0161,det_h1-3,0.00321355,0.000265428,0
run0161,det_h1-4,0.00394981,0.000204934,0
run0162,det_h0-0,0.0037095,0.000189782,0
run0162,det_h0-1,0.00373979,0.000201302,0
run0162,det_h0-2,0.00172558,0.000191072,0
run0162,det_h0-3,0.00286448,0.000249852,0
run0162,det_h0-4,0.00271354,0.000252439,0
run0162,det_h0-5,0.00295896,0.000246791,0
run0162,det_h0-6,0.00339793,0.000215665,0
run0162,det_h0-7,0.00233724,0.00020444,0
run0162,det_h1-0,0.00252245,0.000224116,0
run0162,det_h1-1,0.00281656,0.000202566,0
run0162,det_h1-2,0.0015337,0.000172363,0
run0162,det_h1-3,0.00367393,0.000296981,0
run0162,det_h1-4,0.00375994,0.000237802,0
run0165,det_h0-0,0.0104495,0.000291607,0
run0165,det_h0-1,0.00781688,0.000277925,0
