,a0,a2,a4,a6,a0_err,a2_err,a4_err,a6_err,Chi2,Pval,Chi2NDF
3.9960199999999997,2.1575578507845195e-06,2.595495866896725e-06,-1.2905314934826487e-06,2.476973097261274e-07,9.259639144720066e-08,2.041045906280375e-07,1.984655024258937e-07,2.6417718613490433e-07,132.61972264744065,0.0,44.20657421581355
4.00097,3.941759788208581e-06,3.2036305055367768e-06,-2.931846166936934e-06,1.484611149837319e-06,1.606722048961666e-07,3.148031103026039e-07,3.4585609710001445e-07,4.2838633399464593e-07,81.02499286121393,0.0,27.00833095373798
4.00294,4.5360772860586795e-06,-5.522966176455243e-07,-9.913914999039198e-07,-2.178919381386326e-06,1.8507014889474566e-07,3.741767839775786e-07,4.4201813581899313e-07,3.7911904596324724e-07,72.824042421613,1.1102230246251565e-15,24.274680807204334
4.00497,5.750678489693123e-06,-3.066417081154369e-07,-5.685618166180117e-07,4.799635778989374e-07,2.2811426555910541e-07,4.624735565670819e-07,5.407090840264754e-07,6.145410240658082e-07,81.97242615731045,0.0,27.324142052436816
4.00697,6.741357869703895e-06,2.4047548193337453e-06,-3.3110490142719982e-06,3.5753879165697426e-06,2.4605550439818115e-07,4.787233315700107e-07,5.607261550008827e-07,6.719802513983343e-07,51.9761042104922,3.030409256865596e-11,17.325368070164068
4.0090900000000005,6.599205553491539e-06,1.5842106439328607e-06,-8.200289745040519e-06,4.46502210861652e-06,2.735238157216124e-07,4.732114013672866e-07,5.751111670563104e-07,6.991844578577324e-07,71.07431108737877,2.55351295663786e-15,23.69143702912626
4.01003,6.9803821964671974e-06,8.006771443804676e-07,-1.0435996498918075e-06,3.526157035219795e-07,2.7988980493981903e-07,5.900343966065661e-07,6.382229910555701e-07,7.783603057468282e-07,78.66634019046128,1.1102230246251565e-16,26.22211339682043
4.01507,6.231673725410027e-06,5.5379049527065594e-06,-4.139320084286882e-06,1.2184085368423058e-06,2.292723065536223e-07,5.038603056587411e-07,4.863353462879288e-07,6.702010319175613e-07,77.07143397511904,1.1102230246251565e-16,25.690477991706345
4.0191099999999995,8.97068386868349e-06,5.508953795291571e-07,-6.5002101741389675e-06,2.910906593548325e-06,2.948835157627288e-07,4.999902314366135e-07,6.633362950426129e-07,6.572857417979133e-07,83.63826277996297,0.0,27.879420926654323
4.01992,7.151670441970919e-06,-2.601272793708427e-07,-2.770066513902647e-06,5.942728126930051e-06,2.7303360376444914e-07,4.786125794609191e-07,6.418161584650084e-07,6.973425702917279e-07,28.261180063214695,3.2012662851688134e-06,9.420393354404899
4.02504,7.848945792832922e-06,1.560444346900114e-06,-4.907850125485628e-06,-1.751121471805007e-06,2.9824794405858606e-07,5.899939650078504e-07,7.037137460820136e-07,7.918781738141274e-07,67.42736873353618,1.5210055437364645e-14,22.475789577845394
4.02998,7.799497756257658e-06,3.781037775395262e-06,-8.90015658740204e-06,3.6830850583359538e-06,2.795740216969284e-07,4.814179196688074e-07,5.819059507071064e-07,6.803826221752956e-07,78.88843659950632,0.0,26.296145533168772
4.03514,6.0989764752475495e-06,2.638764842252349e-06,-3.0639592828392946e-07,1.0143575528652579e-06,2.1667688382472496e-07,4.3499203044202987e-07,5.75984300746129e-07,6.395803685745758e-07,2.9436886374018467,0.400389015500343,0.9812295458006156
4.26996,9.59693935806651e-06,1.375254088564238e-06,4.1763930063575824e-07,-8.431418338523905e-07,2.7854841193751276e-07,5.597789919904453e-07,7.206528245276257e-07,7.752517308345129e-07,9.384590593028303,0.02459135452030392,3.1281968643427676
4.29005,8.62697425745536e-06,2.6051972046631994e-06,-4.866935518371311e-07,-2.252619838571352e-06,2.684929935479795e-07,5.800355653824055e-07,6.127162422678289e-07,7.324453918611377e-07,62.98227975640415,1.354472090042691e-13,20.994093252134714
4.291119999999999,7.348725472731173e-06,-7.761087519247907e-07,-4.7651616930568414e-07,2.764496786791651e-06,2.6167654843284143e-07,4.92095727208211e-07,6.952602260669115e-07,6.936949564049343e-07,2.4359692212742026,0.48697408653765273,0.8119897404247342
4.29319,8.171047785963551e-06,5.518581363805621e-07,1.4460008317933433e-06,-1.89100631766831e-06,2.805612566601247e-07,5.691257436375953e-07,7.51743826641125e-07,7.597648435950214e-07,9.03656564258602,0.02880865611676009,3.012188547528673
4.2942,6.827312767783272e-06,3.952672523193394e-06,-3.94146411034451e-06,3.5827015906075078e-06,2.636260888894713e-07,5.040790799916749e-07,6.042117888215458e-07,7.179139575532612e-07,33.63725439661913,2.3631565837511914e-07,11.212418132206375
4.29515,8.362594717882099e-06,1.018817333054861e-06,-1.8683093372113058e-06,6.849352917786471e-07,3.126381131761921e-07,6.277224363830065e-07,7.733200864524938e-07,9.112534977805141e-07,44.72897501408551,1.0564866759210645e-09,14.909658338028505
4.29615,7.636624552734e-06,1.750181464512363e-06,-2.1265213317693044e-06,1.928038970177708e-06,3.129240272101461e-07,6.351419667865695e-07,7.553099102621181e-07,8.95230024863941e-07,39.34396250794315,1.4675454962365109e-08,13.114654169314383
4.297219999999999,8.368732969402099e-06,3.6865085645462853e-06,-3.931816476665198e-06,3.866266527472103e-06,3.5866549504873154e-07,7.200982460434398e-07,8.180368624594489e-07,1.0048718443992683e-06,35.61045518219726,9.051818816718793e-08,11.870151727399088
