,a0,a0_err,Chi2,Pval,Chi2NDF
3.9960199999999997,3.79966125155982e-05,8.571906681534184e-07,246.09403355453128,2.8024022603847264e-50,41.01567225908855
4.00097,3.53818859131023e-05,8.704758837047409e-07,232.63276862070236,2.0996893059373749e-47,38.77212810345039
4.00294,3.465672607526836e-05,8.615480959745745e-07,162.80209960557238,1.509637586071597e-32,27.133683267595398
4.00497,3.283855283490843e-05,8.57308865893898e-07,206.24671467283963,8.875673946949148e-42,34.374452445473274
4.00697,3.175646226583599e-05,8.283042504310643e-07,195.9487133195296,1.381456600887653e-39,32.65811888658826
4.0090900000000005,3.236829623374412e-05,8.946004568787923e-07,162.60847700157882,1.6591909782137705e-32,27.10141283359647
4.01003,3.156316358898336e-05,8.900848174388258e-07,171.96758136933528,1.720355627423958e-34,28.66126356155588
4.01507,3.092831728542348e-05,8.043406347057458e-07,159.8059783173473,6.509358761436096e-32,26.634329719557883
4.0191099999999995,2.6651080708602053e-05,7.070507474144443e-07,175.20692360000578,3.5336753449700525e-35,29.201153933334297
4.01992,2.391205715121111e-05,6.957066801714137e-07,103.14704069409254,5.527973096441017e-20,17.191173449015423
4.02504,1.6398936374788367e-05,5.691444482929402e-07,75.31951974454304,3.2987764795397784e-14,12.553253290757175
4.02998,1.0229074659713112e-05,4.0721613400489926e-07,80.1442753941813,3.335905281285754e-15,13.35737923236355
4.03514,7.089431739939996e-06,3.24359359196635e-07,85.54207397182176,2.548853926180147e-16,14.25701232863696
4.26996,2.9573589582678976e-05,7.267477272782386e-07,150.14805534165473,7.199161392234085e-30,25.024675890275788
4.29005,4.86503568669165e-05,1.1103760621238783e-06,175.85489794405862,2.5744869238248047e-35,29.309149657343102
4.291119999999999,6.744077056997823e-05,1.5271591254864197e-06,171.43585630215358,2.230603311997029e-34,28.572642717025598
4.29319,6.372116356980852e-05,1.4542095151291017e-06,157.64729750602658,1.8647714520466813e-31,26.274549584337763
4.2942,6.247427985724893e-05,1.4775805194568235e-06,196.95903033161818,8.421145868729756e-40,32.8265050552697
4.29515,6.290807328400659e-05,1.5096585285326137e-06,172.56095470221658,1.2874371193277287e-34,28.760159117036096
4.29615,6.271944491539497e-05,1.555730545355985e-06,181.5533607659313,1.5873579673390068e-36,30.25889346098855
4.297219999999999,6.638284009605236e-05,1.7269332255569801e-06,182.26879529965305,1.1186616591742547e-36,30.378132549942176
4.298080000000001,7.399570005500316e-05,2.5143820226851415e-06,271.79387456376503,8.963769338391863e-56,45.29897909396084
4.2990900000000005,8.294378558142343e-05,3.1438315139874885e-06,255.8345376583388,2.3219578653836308e-52,42.639089609723136
4.30105,8.249764986745434e-05,3.6836780132562547e-06,351.8745030213106,6.110052439723022e-73,58.64575050355177
4.3031,8.634333612076394e-05,3.5271660217539916e-06,368.91119648562807,1.3409545356720876e-76,61.48519941427134
4.30523,7.975068389210016e-05,3.5310147214514703e-06,354.14957137147945,1.9842036894611275e-73,59.02492856191324
4.30725,8.563043419858294e-05,3.8367965686454125e-06,301.5084954054804,3.8862673476440573e-62,50.2514159009134
4.3093,8.289321911604057e-05,3.6502876298754576e-06,283.2739083443175,3.1282959496831553e-58,47.21231805738625
4.30996,8.024459566521065e-05,3.358866760524241e-06,330.36471171593115,2.5256309783141905e-68,55.06078528598852
4.31117,7.853198228532095e-05,3.347041472441322e-06,310.2989901682101,5.0757403661466337e-64,51.716498361368345
4.31311,6.0178048817046846e-05,2.999504091285726e-06,367.1043899776935,3.2772966954696925e-76,61.184064996282245
4.31513,6.153999540112411e-05,3.090504254533194e-06,317.211433273987,1.6730017831229218e-65,52.868572212331166
4.3172,5.042308440696216e-05,2.7203271921691796e-06,382.7100425638907,1.4546515361942004e-79,63.78500709398178
4.31917,5.378240801969527e-05,2.9620426687303406e-06,294.74179903319,1.0947595394271996e-60,49.12363317219833
4.32116,5.599423901918458e-05,2.770026531951774e-06,304.9127898417519,7.244149156556036e-63,50.81879830695865
4.32298,4.648187184668167e-05,2.351040792870619e-06,316.0797883583089,2.925131318072146e-65,52.67996472638482
4.32521,4.419835970856854e-05,2.0223241185793258e-06,322.0624318811657,1.5248089451289546e-66,53.677071980194285
4.32711,4.696879194841723e-05,1.8785742142403496e-06,266.77746666824316,1.0610331103297966e-54,44.46291111137386
4.32908,4.098261966934866e-05,1.5015953788650867e-06,246.33677230754313,2.4869656874477573e-50,41.056128717923855
4.33012,3.7960410836421065e-05,1.7446444694288092e-06,317.5963408181128,1.3834436418469897e-65,52.93272346968547
4.33119,3.924519109764706e-05,1.3219720966082118e-06,142.18806155529663,3.460245448605812e-28,23.698010259216105
4.33324,4.7300166763880724e-05,1.3045649531866592e-06,119.90904661810256,1.7028646010451438e-23,19.984841103017093
4.33515,4.569566959832409e-05,1.1913178539590797e-06,136.73144238690116,4.9033692716629255e-27,22.788573731150194
4.34004,4.263251051375598e-05,1.07732499324375e-06,108.81812071930085,3.6034485759338525e-21,18.13635345321681
4.34488,4.028241957616996e-05,1.0201511756010732e-06,77.69158229617375,1.0702756013127739e-14,12.948597049362292
4.34998,3.9193463912218355e-05,9.652116922785874e-07,77.65435250200105,1.0893673413637032e-14,12.94239208366684
4.37005,3.357444679383922e-05,8.611095797484518e-07,52.22377040042046,1.6812496821622786e-09,8.70396173340341
4.39015,3.3555664148352375e-05,8.915441308862721e-07,54.58538638425357,5.620756109740737e-10,9.097564397375594
4.41003,3.6305408410138234e-05,9.752310221018122e-07,53.525638335808026,9.194233633453038e-10,8.920939722634671
4.42024,3.869612453505689e-05,1.0966915611966675e-06,35.95414137642858,2.8137792574100496e-06,5.99235689607143
4.43018,3.797146866043066e-05,1.0760179874896709e-06,50.39875000182357,3.910520821128195e-09,8.399791666970595
4.44004,3.308885287575523e-05,1.5001952321037066e-06,38.81757588250735,7.771705852909739e-07,6.469595980417892
4.44994,3.112977262205669e-05,1.5768006017993887e-06,66.22017054263766,2.4298607831052253e-12,11.03669509043961
4.4549900000000004,2.107346547085851e-05,2.5400661323349177e-06,4.995601520362881,0.5443773791907882,0.8326002533938136
4.46012,2.07629960943266e-05,3.3253388338054486e-06,1.6284071731348773,0.9505134425673305,0.27140119552247954
4.4699599999999995,2.2350324901763616e-05,2.789027469983495e-06,11.062424245355981,0.08646618980000463,1.8437373742259968
4.4779800000000005,2.8317685354711707e-05,2.944448694110848e-06,12.620819077564605,0.04946849903896566,2.1034698462607673
4.48613,3.929761924987423e-05,2.091125781148201e-06,40.20439773448993,4.152652314093212e-07,6.700732955748322
4.48819,4.216576229178561e-05,1.9360546530320065e-06,59.345559735383354,6.112418598405611e-11,9.890926622563892
4.490069999999999,4.151797816744482e-05,2.038016236159144e-06,68.60870959465132,7.884658150189669e-13,11.434784932441886
4.49222,4.8229974897858535e-05,1.6256046474353806e-06,86.96089315300529,1.2948209378227322e-16,14.493482192167548
4.4949900000000005,5.1900129269172136e-05,1.4486577869893328e-06,139.6900740877831,1.1650946617743938e-27,23.281679014630516
4.499969999999999,5.333651992193853e-05,1.3906343233236248e-06,171.9745129456241,1.7145401618415374e-34,28.662418824270684
4.51021,5.702819888377381e-05,1.3650198534716053e-06,200.64715191192738,1.3818403799652431e-40,33.44119198532123
4.51218,6.445945979642855e-05,1.8102749994016602e-06,199.40502098227,2.5400559604909063e-40,33.23417016371167
4.51508,6.368192178872638e-05,2.538311470764707e-06,133.9105070745329,1.9284703601497404e-26,22.31841784575548
4.52007,5.595060024667958e-05,2.8140863652243196e-06,84.08997782731235,5.094984355831109e-16,14.014996304552058
4.52524,5.438097454334403e-05,3.838681634571129e-06,49.12681100018041,7.032666589804667e-09,8.187801833363402
4.5294099999999995,5.74625311230243e-05,3.291239518173412e-06,66.08032194257069,2.5951846469328863e-12,11.01338699042845
4.53506,3.728648684681475e-05,4.442165198085674e-06,42.41364143590341,1.523411871260062e-07,7.068940239317235
4.54024,3.82033456594107e-05,5.750843213695364e-06,9.736380088927971,0.13620165618753624,1.6227300148213286
4.5498,4.959382015701958e-05,3.0823934456687598e-06,33.98981220412048,6.757940143729414e-06,5.664968700686747
4.56018,1.7656710591242405e-05,3.5446189179390913e-06,5.239078609050217,0.5135354713201687,0.8731797681750361
4.570130000000001,1.1750953493011134e-05,3.293346464660226e-06,5.281753019411692,0.5082168262832394,0.8802921699019487
4.580030000000001,5.922676393742597e-06,1.829739710123213e-06,19.387330434078702,0.0035571251159987934,3.231221739013117
4.59008,3.9266950999267365e-05,3.0241495936653658e-06,62.228802329219945,1.5848122612375528e-11,10.37146705486999
4.60027,7.308425583482757e-05,3.866452489033763e-06,289.3750504193694,1.5446902264063945e-59,48.2291750698949
4.60999,5.3878255789224906e-05,4.4060473424196445e-06,781.790066255864,1.3235990896693415e-165,130.29834437597734
4.62023,8.16674798560567e-05,6.6464204410886745e-06,623.044284109438,2.491086169267192e-131,103.84071401823967
4.62994,8.165273849295572e-05,5.151201294880079e-06,672.7204909786176,4.739833440256107e-142,112.1200818297696
4.63517,8.474675678515041e-05,4.190087677158252e-06,385.28350035099083,4.071275571055032e-80,64.21391672516513
4.639959999999999,0.00013149915544738363,4.3301675976644895e-06,213.87359646509483,2.10515926545175e-43,35.64559941084914
4.64996,0.00012157705068463881,3.911317816017298e-06,398.6634268038873,5.417726011165262e-83,66.44390446731455
4.67012,0.00012230003133452218,3.3024567997025743e-06,444.5003713609482,7.490885045001779e-93,74.08339522682469
4.68015,0.00010700167613628718,2.657542671381799e-06,262.46573625965897,8.870808493566091e-54,43.74428937660983
