,a0,a1,a2,a3,a4,a5,a6,a7,a8
3.9960199999999997,3.913702301191464e-06,0.0,-1.1871186058218685e-06,0.0,2.994681020570777e-06,0.0,-4.4073563284234795e-06,0.0,2.5597775559286535e-06
4.00097,5.2996777212951014e-06,0.0,8.881471491655649e-07,0.0,-1.07848493273537e-06,0.0,-9.576512568704358e-07,0.0,1.7305720625759982e-06
4.00294,6.204049051152414e-06,0.0,-1.7547716685410252e-06,0.0,-3.670434288116965e-06,0.0,7.916748378941215e-07,0.0,-1.2170739724813938e-06
4.00497,6.51874896853068e-06,0.0,-3.5185026132941044e-07,0.0,1.5259873847397607e-06,0.0,3.9948354259899074e-06,0.0,-6.5676222153779345e-06
4.00697,7.607428798318528e-06,0.0,9.992085014012782e-07,0.0,-4.630312225997931e-07,0.0,4.374909999314591e-06,0.0,-4.207320345901794e-06
4.0090900000000005,7.722282089886794e-06,0.0,2.3794248867903494e-06,0.0,-4.357875417243158e-06,0.0,2.672271942616387e-06,0.0,-5.832805641838791e-06
4.01003,8.62943883080694e-06,0.0,7.103555261907771e-07,0.0,1.0445813662209867e-06,0.0,1.3466780254037067e-06,0.0,-6.796600478539856e-06
4.01507,7.612750917807164e-06,0.0,4.3916913955884304e-06,0.0,-2.7251042734687043e-07,0.0,-1.849531205587798e-06,0.0,-2.6655277751301087e-06
4.0191099999999995,1.0728516226889845e-05,0.0,-1.4558309135971346e-06,0.0,-3.284230364885428e-06,0.0,3.924791278781651e-06,0.0,-3.3253009376609102e-06
4.01992,7.6149861575962e-06,0.0,-1.4521513007495615e-06,0.0,-1.149243145325569e-06,0.0,6.449234965793256e-06,0.0,-1.4479196931311185e-06
4.02504,8.50054760749119e-06,0.0,1.626231326557034e-06,0.0,-2.6466477026147573e-06,0.0,2.0374084663555067e-06,0.0,-7.105249302616979e-06
4.02998,9.523111659783477e-06,0.0,1.39658859188286e-06,0.0,-4.772690796842104e-06,0.0,-1.6962841451156314e-06,0.0,1.7784924910469478e-06
4.03514,6.234221304037814e-06,0.0,2.4073763232447957e-06,0.0,-2.5842098072774433e-08,0.0,1.1700210565332743e-06,0.0,-3.8380677261730404e-07
4.26996,9.593003548574979e-06,0.0,1.4556272889252863e-06,0.0,-4.408452921385613e-08,0.0,-1.9493029136621163e-06,0.0,2.113430722195501e-06
4.29005,1.0020174044749274e-05,0.0,1.7501057827807782e-06,0.0,6.39842895210184e-07,0.0,-2.8208360823608916e-07,0.0,-5.611767559212766e-06
4.291119999999999,7.382425113522392e-06,0.0,-9.424862116244978e-07,0.0,-5.599123544604922e-07,0.0,2.2637096033647335e-06,0.0,9.779630555668848e-07
4.29319,8.40663043478336e-06,0.0,1.0836574285632838e-07,0.0,2.3981068228685187e-06,0.0,-2.495384886697964e-06,0.0,5.758570949640975e-07
4.2942,7.355610351458918e-06,0.0,3.1435282573830164e-06,0.0,-2.8775357772536034e-06,0.0,1.7106872254113125e-06,0.0,1.5231028070438295e-06
4.29515,8.984034014572196e-06,0.0,3.2460594564173315e-06,0.0,-8.063619512638156e-07,0.0,-1.0733069114069628e-06,0.0,-2.5130698834664024e-06
4.29615,8.259613278826824e-06,0.0,2.0081329533804375e-06,0.0,-4.510947539584523e-07,0.0,4.350723048167824e-06,0.0,-6.107930846972933e-06
4.297219999999999,9.322947259024515e-06,0.0,2.498085532079982e-06,0.0,-1.1496520117000213e-06,0.0,3.6885308761385455e-06,0.0,-3.8776695978802585e-06
4.298080000000001,1.5354573056624064e-05,0.0,3.6749070552035603e-06,0.0,-7.04230490907835e-06,0.0,-5.420810157097376e-06,0.0,5.635431033167796e-06
4.2990900000000005,1.7695709798815443e-05,0.0,2.7134347666801122e-06,0.0,-3.38857972310728e-07,0.0,-5.1007933803271144e-06,0.0,7.636488946686598e-06
4.30105,3.1156348717161603e-05,0.0,4.419528185505152e-06,0.0,-1.1139691130005114e-05,0.0,9.215164567508322e-06,0.0,-5.599614595111565e-06
4.3031,2.774963897743009e-05,0.0,3.6111794833011897e-06,0.0,-1.7238608755145065e-05,0.0,4.889733169647375e-06,0.0,7.3316033800713145e-06
4.30523,3.0471174859777967e-05,0.0,6.823294273634212e-07,0.0,-8.674158608555557e-06,0.0,-8.451622575761705e-07,0.0,-5.530047645045579e-06
4.30725,2.862898745681761e-05,0.0,2.2229734939174943e-06,0.0,-4.137716548950187e-06,0.0,8.792105101238034e-06,0.0,-9.341971888164762e-06
4.3093,2.9504782783481644e-05,0.0,6.366970899582498e-06,0.0,-1.0287501113095402e-05,0.0,-5.5863271368827815e-06,0.0,-4.683118067483588e-06
4.30996,2.967902871428962e-05,0.0,3.166857446559414e-06,0.0,-7.829652306166118e-06,0.0,1.2668974314122171e-05,0.0,5.559965463235676e-06
4.31117,2.7246130967645752e-05,0.0,1.0667296974033174e-06,0.0,-8.560558535274772e-06,0.0,1.4838743826767203e-05,0.0,-1.5908577187352905e-06
4.31311,2.8617418726577216e-05,0.0,7.433341674921757e-07,0.0,-1.678274047666303e-05,0.0,1.4582908884071829e-05,0.0,-2.8280793104330043e-06
4.31513,2.8775721540556817e-05,0.0,7.276853852824114e-06,0.0,-4.178154111400704e-06,0.0,1.814676469300187e-06,0.0,-1.8117354623465322e-07
4.3172,2.6546877700540265e-05,0.0,7.798522623339014e-07,0.0,-4.880648137658606e-06,0.0,8.522113735873827e-06,0.0,3.3498147211645315e-07
4.31917,2.9500684499613392e-05,0.0,2.0503414703555213e-06,0.0,1.2151372346092593e-06,0.0,5.037772991103214e-06,0.0,-1.2590008930966082e-05
4.32116,2.731058194851718e-05,0.0,9.051939338189789e-06,0.0,-7.380165997997295e-06,0.0,9.460852877723797e-06,0.0,-6.825695949372295e-06
4.32298,2.6494654910220446e-05,0.0,4.741074599292698e-06,0.0,2.620624267388145e-06,0.0,-2.1678403562713136e-06,0.0,-3.579892665312127e-06
4.32521,2.109045118156893e-05,0.0,1.4890590305738323e-06,0.0,-1.5229058017546384e-06,0.0,2.866261654275682e-06,0.0,8.556648537355758e-08
4.32711,1.9357683799614863e-05,0.0,2.765476309119048e-07,0.0,-9.472100409358034e-07,0.0,3.1078305766911036e-06,0.0,4.912075554073781e-06
4.32908,1.663092043011969e-05,0.0,6.374718033979162e-06,0.0,-8.500812971845879e-06,0.0,7.78573948952929e-06,0.0,-1.880929103518741e-06
4.33012,1.798834561990622e-05,0.0,4.626180369964102e-06,0.0,-2.026846851491985e-06,0.0,3.73612936091197e-06,0.0,-7.031169750512248e-06
4.33119,2.5399289210285845e-05,0.0,6.119184821077904e-07,0.0,-1.0449872805453973e-06,0.0,4.681151952521745e-06,0.0,4.4770455705361145e-07
4.33324,2.6200271277818493e-05,0.0,6.916516749436082e-06,0.0,-3.255868296458943e-06,0.0,6.447977980347685e-06,0.0,-5.591117237299999e-06
