,a0,a0err,fitOrder,splineX,splineY
1.6283,3.7304465182678896e-37,8.49882818129319e-39,4,1.6283,3.7304465182678896e-37
1.6291,1.2080614452068505e-36,2.7533895444143256e-38,4,1.6291,1.2080614452068505e-36
1.63,3.714228560129472e-36,8.468713906019907e-38,4,1.63,3.714228560129472e-36
1.6308,1.0882764615434428e-35,2.482284437509966e-37,4,1.6308,1.0882764615434428e-35
1.6317,3.04887769460812e-35,6.956709486202934e-37,4,1.6317,3.04887769460812e-35
1.6326,8.192534829603784e-35,1.869952151991878e-36,4,1.6326,8.192534829603784e-35
1.6334,2.1172329301754557e-34,4.8341610453244134e-36,4,1.6334,2.1172329301754557e-34
1.6343,5.275715892450134e-34,1.2049493221399628e-35,4,1.6343,5.275715892450134e-34
1.6351,1.2704447513582834e-33,2.9024913856212556e-35,4,1.6351,1.2704447513582834e-33
1.636,2.9628204604137957e-33,6.77089446257253e-35,4,1.636,2.9628204604137957e-33
1.6368,6.704446337286187e-33,1.5325782506639597e-34,4,1.6368,6.704446337286187e-33
1.6377,1.4746389710785555e-32,3.3717782111361668e-34,4,1.6377,1.4746389710785555e-32
1.6386,3.157876001552701e-32,7.2223421935507065e-34,4,1.6386,3.157876001552701e-32
1.6394,6.59371160021586e-32,1.5084118269290947e-33,4,1.6394,6.59371160021586e-32
1.6403,1.3442928850868966e-31,3.0759988404960675e-33,4,1.6403,1.3442928850868966e-31
1.6411,2.679388902502183e-31,6.132341664252665e-33,4,1.6411,2.679388902502183e-31
1.642,5.22724413048646e-31,1.1966285909846944e-32,4,1.642,5.22724413048646e-31
1.6428,9.992763595088259e-31,2.2880442184159324e-32,4,1.6428,9.992763595088259e-31
1.6437,1.8737672866214808e-30,4.291245478716683e-32,4,1.6437,1.8737672866214808e-30
1.6446,3.449677433505407e-30,7.901943523260719e-32,4,1.6446,3.449677433505407e-30
1.6454,6.2410618720699614e-30,1.4298753414573785e-31,4,1.6454,6.2410618720699614e-30
1.6463,1.1104894221689892e-29,2.5446957451406484e-31,4,1.6463,1.1104894221689892e-29
1.6471,1.9448219149572665e-29,4.457387762947241e-31,4,1.6471,1.9448219149572665e-29
1.648,3.3548480209540744e-29,7.690413312500491e-31,4,1.648,3.3548480209540744e-29
1.6488,5.704050285771661e-29,1.307784207936289e-30,4,1.6488,5.704050285771661e-29
1.6497,9.565258899551946e-29,2.193419066016846e-30,4,1.6497,9.565258899551946e-29
1.6506,1.5829282879412085e-28,3.630421203998738e-30,4,1.6506,1.5829282879412085e-28
1.6514,2.586633281060281e-28,5.9333450581157264e-30,4,1.6514,2.586633281060281e-28
1.6523,4.175801400283322e-28,9.580176061757613e-30,4,1.6523,4.175801400283322e-28
1.6531,6.663387805848535e-28,1.528952198535111e-29,4,1.6531,6.663387805848535e-28
1.654,1.0514877490815363e-27,2.4130597381085148e-29,4,1.654,1.0514877490815363e-27
1.6548,1.6415597936030108e-27,3.767761208191909e-29,4,1.6548,1.6415597936030108e-27
1.6557,2.536550968962833e-27,5.822787254264936e-29,4,1.6557,2.536550968962833e-27
1.6566,3.880848834980579e-27,8.909917917648124e-29,4,1.6566,3.880848834980579e-27
1.6574,5.8812993657576295e-27,1.3504523665976325e-28,4,1.6574,5.8812993657576295e-27
1.6583,8.831700577313402e-27,2.028190756309102e-28,4,1.6583,8.831700577313402e-27
1.6591,1.3145489563615314e-26,3.0192351203766345e-28,4,1.6591,1.3145489563615314e-26
1.66,1.940118003678055e-26,4.456592324885323e-28,4,1.66,1.940118003678055e-26
1.6608,2.839966486524974e-26,6.524424757751171e-28,4,1.6608,2.839966486524974e-26
