1281,1394,1409,1390,1355,1424,1402,1417,1394,1417,1426,1402,1400,
1376,1494,1508,1489,1454,1524,1501,1516,1493,1517,1526,1503,1500,
1628,1801,1816,1803,1764,1855,1807,1836,1795,1836,1859,1833,1814,
1958,2131,2146,2133,2094,2185,2137,2166,2125,2166,2189,2163,2144,
