Run,Detector,Yield,Yield err,Area,Area err,Fit Status
run0159,det_h0-0,0.00785514,0.000605397,3472.18,267.601,0
run0159,det_h0-1,0.00900654,0.000742727,3981.13,328.304,0
run0159,det_h0-2,0.00400221,0.00138769,1769.08,613.394,1
run0159,det_h0-3,0.00602291,0.00104747,2662.28,463.009,0
run0159,det_h0-4,0.00729629,0.00073057,3225.15,322.931,0
run0159,det_h0-5,0.00503357,4.33797e-05,2224.97,19.175,1
run0159,det_h0-6,0.00829091,0.000910681,3664.8,402.545,1
run0159,det_h0-7,0.00551512,0.00131058,2437.83,579.311,0
run0159,det_h1-0,0.00772156,0.000829157,3413.13,366.509,1
run0159,det_h1-1,0.00643986,0.000624704,2846.58,276.135,0
run0159,det_h1-2,0.00424482,0.00236483,1876.32,1045.32,1
run0159,det_h1-3,0.000215751,5.39751e-06,95.3674,2.38584,1
run0159,det_h1-4,0.00894382,0.000832552,3953.4,368.01,0
run0160,det_h0-0,0.00913183,0.000530678,6170.47,358.584,1
run0160,det_h0-1,0.00990968,0.000730797,6696.07,493.807,0
run0160,det_h0-2,0.00423909,0.000748928,2864.4,506.058,0
run0160,det_h0-3,0.00762385,0.000875912,5151.51,591.863,0
run0160,det_h0-4,0.00848595,0.000690177,5734.04,466.36,0
run0160,det_h0-5,0.00835955,0.00124498,5648.63,841.248,0
run0160,det_h0-6,0.00848464,0.000638504,5733.16,431.444,0
run0160,det_h0-7,0.00687571,0.000604102,4645.99,408.198,0
run0160,det_h1-0,0.00186659,2.78535e-05,1261.27,18.8209,1
run0160,det_h1-1,0.0076586,0.000691123,5174.99,466.998,0
run0160,det_h1-2,0.00500379,0.000857635,3381.11,579.512,1
run0160,det_h1-3,0.0114049,0.00139544,7706.41,942.913,1
run0160,det_h1-4,0.00987055,0.000646861,6669.63,437.09,0
run0161,det_h0-0,0.00409755,0.000347846,3227.24,273.965,1
run0161,det_h0-1,0.0053994,0.000669658,4252.59,527.425,1
run0161,det_h0-2,0.00157147,0.00048092,1237.7,378.774,1
run0161,det_h0-3,0.00481758,0.00079525,3794.34,626.342,0
run0161,det_h0-4,0.00447322,0.000609975,3523.13,480.419,0
run0161,det_h0-5,0.00347013,0.00121613,2733.09,957.832,0
run0161,det_h0-6,0.00486388,0.000498832,3830.81,392.882,0
run0161,det_h0-7,0.00416447,0.000770574,3279.95,606.907,0
run0161,det_h1-0,0.000121085,1.28355e-05,95.3674,10.1093,1
run0161,det_h1-1,0.00330895,0.000448122,2606.14,352.943,0
run0161,det_h1-2,0.000121085,2.46425e-06,95.3674,1.94085,1
run0161,det_h1-3,0.00518753,0.00114045,4085.72,898.225,0
run0161,det_h1-4,0.00571962,0.000672062,4504.8,529.318,0
run0162,det_h0-0,0.00295549,0.000372932,2226.42,280.936,1
run0162,det_h0-1,0.00281658,0.00052792,2121.78,397.691,0
run0162,det_h0-2,0.0034097,0.0021182,2568.58,1595.68,0
run0162,det_h0-3,0.00258207,0.000706277,1945.12,532.05,0
run0162,det_h0-4,0.00307564,0.000853053,2316.93,642.619,0
run0162,det_h0-5,0.00760006,0.000698593,5725.25,526.262,0
run0162,det_h0-6,0.000126597,3.29602e-06,95.3674,2.48295,1
run0162,det_h0-7,0.00363873,0.00198818,2741.12,1497.73,0
run0162,det_h1-0,0.00260223,0.000459263,1960.3,345.971,0
run0162,det_h1-1,0.00287257,0.000479007,2163.96,360.844,0
run0162,det_h1-2,0.00272892,0.00179654,2055.74,1353.36,0
run0162,det_h1-3,0.00218056,0.00132888,1642.65,1001.07,0
run0162,det_h1-4,0.0026815,0.000495825,2020.02,373.514,0
run0165,det_h0-0,0.0109853,0.000634552,5074.53,293.124,0
run0165,det_h0-1,0.00020645,6.16196e-06,95.3674,2.84645,1
