0.001,0
0.002,0
0.003,0
0.004,0
0.005,0
0.006,0
0.007,0
0.008,0
0.009,0
0.01,0
0.011,0
0.012,0
0.013,0
0.014,0
0.015,0
0.016,0
0.018,0
0.02,0
0.025,0
0.03,6.7457E-297
0.04,1.0206E-226
0.05,2.8575E-184
0.06,9.2303E-156
0.07,2.9671E-135
0.08,9.0363E-120
0.09,1.193E-107
0.1,6.81923E-98
0.11,7.33263E-90
0.12,3.96103E-83
0.13,2.126E-77
0.14,1.84787E-72
0.15,3.72501E-68
0.16,2.28157E-64
0.18,5.2518E-58
0.2,7.3145E-53
0.25,1.93341E-43
0.3,6.62153E-37
0.35,1.31691E-31
0.4,2.8463E-27
0.45,7.41789E-24
0.5,4.01516E-21
0.6,4.93328E-17
0.7,4.00334E-14
0.8,5.97791E-12
0.9,2.90116E-10
1,6.43331E-09
1.25,1.68659E-06
1.5,6.96048E-05
1.75,0.001013722
2,0.007765732
2.5,0.144888676
3,1.102564657
3.5,4.943565476
4,15.68384749
5,81.75632946
6,248.2873746
7,545.7232739
8,974.6864704
9,1512.968523
10,2127.676365
