,a0,a1,a2,a3,a4,a5,a6,a7,a8
3.9960199999999997,1.2272222368356629e-05,0.0,1.0671772752525422e-06,0.0,-1.7483973532542406e-06,0.0,8.207324743246587e-07,0.0,8.315620071506775e-07
4.00097,1.915829280471069e-05,0.0,4.295213006715689e-06,0.0,-5.438779998448029e-06,0.0,2.6923976827030404e-06,0.0,-7.619408098863465e-07
4.00294,2.275251071041036e-05,0.0,4.621861154776436e-06,0.0,-6.544549317468212e-06,0.0,5.1189660934113626e-06,0.0,-3.014974153397989e-06
4.00497,2.5906102903300277e-05,0.0,3.6624902422909673e-06,0.0,-7.0862938161381585e-06,0.0,4.450505886913887e-06,0.0,7.885349380921336e-07
4.00697,3.218502547996378e-05,0.0,1.2385387897049644e-06,0.0,-4.713653766860538e-06,0.0,4.656744778554715e-06,0.0,4.72759531984217e-07
4.0090900000000005,3.4229682041268366e-05,0.0,3.8292698627076517e-07,0.0,-6.149258535719829e-06,0.0,4.220587368237781e-06,0.0,-1.4066045585797877e-06
4.01003,3.4794026163807455e-05,0.0,6.440241062540066e-07,0.0,-2.3062419950266396e-06,0.0,4.159288352385808e-06,0.0,-1.7458001386486087e-06
4.01507,3.894025482139893e-05,0.0,1.2152053733094183e-06,0.0,-4.355892681841276e-06,0.0,4.249323427647168e-06,0.0,-4.998314015435207e-07
4.0191099999999995,3.859536521852644e-05,0.0,4.27802858341271e-07,0.0,-3.85737893459423e-06,0.0,3.538977760805272e-06,0.0,-1.524945530353962e-06
4.01992,3.571397426085853e-05,0.0,-3.7019972584827054e-07,0.0,-3.3182132679517743e-06,0.0,5.180039891397212e-06,0.0,-2.1413488101468467e-06
4.02504,3.563096524271345e-05,0.0,1.2625147421837262e-06,0.0,-5.996704780676997e-06,0.0,3.288940353938252e-06,0.0,-2.6876755613306087e-06
4.02998,3.020767572791757e-05,0.0,-1.4227366205179634e-07,0.0,-4.128075221304022e-06,0.0,3.2222259650075237e-06,0.0,1.7436837532923858e-07
4.03514,2.3738656258504667e-05,0.0,-1.973152390006651e-07,0.0,-4.143152056036999e-06,0.0,5.245570515834041e-06,0.0,-2.278495361719823e-06
4.26996,1.3179212359105624e-05,0.0,1.39596463920851e-07,0.0,-6.920892655896458e-07,0.0,2.4559790058722987e-07,0.0,1.2817402855046176e-06
4.29005,1.861005920434096e-05,0.0,1.370636825587052e-06,0.0,-1.3710338459425835e-06,0.0,1.6547241861043628e-06,0.0,-6.127086732554733e-07
4.291119999999999,2.5448816530118063e-05,0.0,5.345412640562825e-06,0.0,-3.174775773581747e-06,0.0,3.0857683158405507e-06,0.0,-6.394410110816439e-07
4.29319,3.084408305974035e-05,0.0,5.851636471393453e-06,0.0,3.5247647747271444e-06,0.0,-1.0495975835663337e-06,0.0,-2.6742104578398364e-06
4.2942,3.520619933551485e-05,0.0,6.958814497660542e-06,0.0,-2.897108852532565e-06,0.0,2.6196402049773244e-06,0.0,2.6630954024048043e-06
4.29515,4.224010387699696e-05,0.0,9.247429011690303e-06,0.0,-1.0414518859121991e-07,0.0,4.437827541743992e-06,0.0,1.6920229893579406e-06
4.29615,4.6863518385947824e-05,0.0,1.4320703098125612e-05,0.0,-3.585905654512047e-06,0.0,3.7685814713229313e-06,0.0,-3.611183099261315e-06
4.297219999999999,7.218669587396707e-05,0.0,1.605547182744763e-05,0.0,-5.7339119252449384e-06,0.0,6.031119660325276e-06,0.0,4.948920437305936e-06
4.298080000000001,0.00020652869944725498,0.0,6.828124286329525e-05,0.0,-3.1365770897388215e-06,0.0,1.2014555188016722e-05,0.0,6.210202734129553e-06
4.2990900000000005,0.0003276994813085117,0.0,0.0001121004196837821,0.0,-2.2337972245593383e-05,0.0,2.059726876984409e-05,0.0,1.93791283066208e-05
4.30105,0.0004935920543111454,0.0,0.0001466326066364449,0.0,-2.739329152344742e-05,0.0,1.7295874256436025e-06,0.0,1.7912765291658194e-05
4.3031,0.0004950653932923914,0.0,0.0001581471686238015,0.0,-2.5102343205874942e-05,0.0,1.0852946638448162e-05,0.0,3.724226663953015e-05
4.30523,0.00046052774083829513,0.0,0.00013078891289193027,0.0,-4.123648761819369e-05,0.0,4.6202583213799726e-05,0.0,2.0166311096223557e-05
