,Run,Detector,Yield,Yield err,Fit Status,Ea
0,run0159,det_h0-0,0.15229,0.013072499999999999,0,5440.81634040209
1,run0159,det_h0-1,0.21049400000000001,0.0191893,0,5440.81634040209
2,run0159,det_h0-2,0.134955,0.10487300000000001,0,5440.81634040209
3,run0159,det_h0-3,0.129331,0.0194608,0,5440.81634040209
4,run0159,det_h0-4,0.182195,0.019718700000000002,0,5440.81634040209
5,run0159,det_h0-5,0.217265,0.0295933,0,5440.81634040209
6,run0159,det_h0-6,0.21516999999999997,0.0250668,0,5440.81634040209
7,run0159,det_h0-7,0.13339600000000001,0.021041499999999998,0,5440.81634040209
8,run0159,det_h1-0,0.20232999999999998,0.0218302,0,5440.81634040209
9,run0159,det_h1-1,0.138525,0.0135672,0,5440.81634040209
10,run0159,det_h1-2,0.100327,0.07509360000000001,0,5440.81634040209
11,run0159,det_h1-3,0.16638,0.0153364,0,5440.81634040209
12,run0159,det_h1-4,0.203618,0.019661900000000003,0,5440.81634040209
13,run0160,det_h0-0,0.174026,0.0120588,0,5414.07835333669
14,run0160,det_h0-1,0.230429,0.016382900000000002,0,5414.07835333669
15,run0160,det_h0-2,0.141511,0.00612819,1,5414.07835333669
16,run0160,det_h0-3,0.176021,0.0178512,0,5414.07835333669
17,run0160,det_h0-4,0.205974,0.018871799999999998,0,5414.07835333669
18,run0160,det_h0-5,0.23333099999999998,0.025995799999999996,0,5414.07835333669
19,run0160,det_h0-6,0.181713,0.015587799999999999,0,5414.07835333669
20,run0160,det_h0-7,0.163124,0.0147548,0,5414.07835333669
21,run0160,det_h1-0,0.148021,0.015244899999999999,0,5414.07835333669
22,run0160,det_h1-1,0.15014,0.010050100000000001,0,5414.07835333669
23,run0160,det_h1-2,0.130367,0.027756299999999998,0,5414.07835333669
24,run0160,det_h1-3,0.274894,0.0214537,0,5414.07835333669
25,run0160,det_h1-4,0.235648,0.0157653,0,5414.07835333669
26,run0161,det_h0-0,0.0702827,0.00685791,0,5403.41451924703
27,run0161,det_h0-1,0.121982,0.0156189,0,5403.41451924703
28,run0161,det_h0-2,0.036625300000000006,0.00997326,0,5403.41451924703
29,run0161,det_h0-3,0.11019000000000001,0.016863999999999997,0,5403.41451924703
30,run0161,det_h0-4,0.10296400000000001,0.014682399999999998,0,5403.41451924703
31,run0161,det_h0-5,0.0853612,0.024350200000000002,0,5403.41451924703
32,run0161,det_h0-6,0.11212000000000001,0.0130891,0,5403.41451924703
33,run0161,det_h0-7,0.103974,0.0186082,0,5403.41451924703
34,run0161,det_h1-0,0.113746,0.019071200000000003,0,5403.41451924703
35,run0161,det_h1-1,0.0612466,0.00606076,0,5403.41451924703
36,run0161,det_h1-2,0.06886060000000001,0.012574799999999999,0,5403.41451924703
37,run0161,det_h1-3,0.1088,0.011756299999999999,0,5403.41451924703
38,run0161,det_h1-4,0.13302,0.014345400000000001,0,5403.41451924703
39,run0162,det_h0-0,0.0558236,0.0077941,0,5393.08387099751
40,run0162,det_h0-1,0.0630211,0.0120277,0,5393.08387099751
41,run0162,det_h0-2,0.0631611,0.00882743,0,5393.08387099751
42,run0162,det_h0-3,0.042930800000000005,0.0101191,0,5393.08387099751
43,run0162,det_h0-4,0.0795099,0.021003599999999997,0,5393.08387099751
44,run0162,det_h0-5,0.105126,0.01222,0,5393.08387099751
45,run0162,det_h0-6,0.052982400000000006,0.009762700000000001,0,5393.08387099751
46,run0162,det_h0-7,0.0910117,0.0713012,0,5393.08387099751
47,run0162,det_h1-0,0.055353999999999993,0.00913501,0,5393.08387099751
48,run0162,det_h1-1,0.0513197,0.00686302,0,5393.08387099751
49,run0162,det_h1-2,0.0391691,0.010228600000000001,0,5393.08387099751
50,run0162,det_h1-3,0.043096300000000004,0.0225954,0,5393.08387099751
51,run0162,det_h1-4,0.0574524,0.0101771,0,5393.08387099751
52,run0165,det_h0-0,0.217075,0.014565,0,5383.34338821273
53,run0165,det_h0-1,0.132156,0.019292,0,5383.34338821273
54,run0165,det_h0-2,0.174719,0.0240393,0,5383.34338821273
55,run0165,det_h0-3,0.21143699999999999,0.0203643,0,5383.34338821273
56,run0165,det_h0-4,0.216719,0.0344097,0,5383.34338821273
57,run0165,det_h0-5,0.270882,0.0299063,0,5383.34338821273
58,run0165,det_h0-6,0.248875,0.0122975,1,5383.34338821273
59,run0165,det_h0-7,0.16934100000000002,0.0178075,0,5383.34338821273
60,run0165,det_h1-0,0.188872,0.0184898,0,5383.34338821273
61,run0165,det_h1-1,0.193907,0.0151779,0,5383.34338821273
62,run0165,det_h1-2,0.137972,0.011771799999999999,0,5383.34338821273
63,run0165,det_h1-3,0.182896,0.0179355,0,5383.34338821273
64,run0165,det_h1-4,0.295675,0.0255189,0,5383.34338821273
65,run0167,det_h0-0,0.191781,0.015053700000000001,0,5383.34338821273
66,run0167,det_h0-1,0.17935299999999998,0.0152899,0,5383.34338821273
67,run0167,det_h0-2,0.118158,0.0255496,0,5383.34338821273
68,run0167,det_h0-3,0.171399,0.021617700000000004,0,5383.34338821273
69,run0167,det_h0-4,0.146476,0.0144121,0,5383.34338821273
70,run0167,det_h0-5,0.230221,0.149425,0,5383.34338821273
71,run0167,det_h0-6,0.16918,0.016951499999999998,0,5383.34338821273
72,run0167,det_h0-7,0.186885,0.019029,0,5383.34338821273
73,run0167,det_h1-0,0.155531,0.0147689,0,5383.34338821273
74,run0167,det_h1-1,0.12553599999999998,0.011318799999999999,0,5383.34338821273
75,run0167,det_h1-2,0.0973559,0.032245499999999996,0,5383.34338821273
