,a0,a2,a0_err,a2_err,Chi2,Pval,Chi2NDF
5.030101,419799079548893.6,14034949243407.75,9314909165362.783,15221562473137.791,4.406399107043509,0.4925037262382026,0.8812798214087018
5.032781,466380926659887.6,20995523972248.875,10106261063585.979,16398056178736.67,0.8278054538871641,0.9752260265750036,0.1655610907774328
5.035899,507526910392144.2,6425564390686.0625,11000985583491.209,17593298873579.848,1.1573861300274293,0.9488996706571702,0.23147722600548587
5.0387059999999995,533630566149277.1,6155878825613.75,11570557292800.246,18487780151929.957,1.7034257349520892,0.8884678928497557,0.34068514699041785
5.041981,539653107093484.9,23515957872269.438,11753178579520.078,19026597055354.613,1.7774219269210902,0.8790051641442851,0.35548438538421806
5.044789,526778635909303.5,12949944139276.875,11420831616499.203,18290422194477.316,2.0303123889275696,0.8449350438970371,0.4060624777855139
5.049971,504780837068407.25,29095964057365.0,10965324657551.734,18011419804330.64,1.9420787632227654,0.8571001155650836,0.3884157526445531
5.054843,430865425879191.25,15347086104162.875,9263191527149.285,14935317977123.361,1.827451020054886,0.8724679701697111,0.3654902040109772
5.064876,270091577058591.2,7272918578896.0625,5821458825911.978,9380590298547.041,1.0819332656088516,0.9556903304848006,0.21638665312177033
5.069912,229310957640911.62,7633735049973.3125,5029653657908.979,8250312548839.013,4.575234010542672,0.46988092234037193,0.9150468021085343
5.074481,182091331472060.47,7735167354664.094,3897505630061.055,6301436926265.388,1.325992968038595,0.9322344311369886,0.26519859360771897
5.084189,141269755311212.03,11491678940951.625,3071696228614.4253,5060009065904.997,1.635749728954679,0.8968926926139569,0.3271499457909358
5.089986,133242439971076.52,4665739612225.484,2976073422856.7705,4857895031959.296,3.1461042884295094,0.6774724628930204,0.6292208576859019
5.093717,129903669153037.0,-1875058113145.8594,3288463567598.7812,5155259406363.04,3.0675702905623794,0.6895691326428095,0.6135140581124758
5.09676,133402192994475.42,8151769854620.4375,3227764092001.4717,5235151866799.146,0.6634133919777956,0.9849161346304909,0.1326826783955591
5.098893,127999059567452.2,6550759352574.469,3326405912760.396,5418522383222.581,4.752987195753686,0.4467634962657341,0.9505974391507372
