Run,Detector,Yield,Yield err,Area,Area err,Time,Fit Status,a,b,sig1,sig2,X2NDF,Linear,Offset,Q_int
run0161,det_h1-3,0.00592608,0.000145803,4667.41,114.835,1874.39,1,1.00857,0,13,11.797,3.57896,-0.161961,11.797,787604
run0161,det_h1-4,0.00560936,0.00012351,4417.96,97.2774,1874.39,1,1.00509,0,10.5988,7.64986,3.56093,-0.0833279,7.64986,787604
run0162,det_h0-0,0.00232745,0.000116382,1753.31,87.6727,1943.46,1,1.00188,0,13,7.55052,4.49696,-0.0755223,7.55052,753317
run0162,det_h0-1,0.00375518,0.000108257,2828.84,81.5521,1943.46,1,1.00081,0,10.5666,7.49847,3.76061,-0.108075,7.49847,753317
run0162,det_h0-2,0.00132984,9.5788e-05,1001.79,72.1587,1943.46,1,1.00149,0,13,11,4.83529,-0.0329424,11,753317
run0162,det_h0-3,0.00270277,0.000104096,2036.04,78.4172,1943.46,1,1.00182,0,10.9192,7.47965,2.83083,-0.0739814,7.47965,753317
run0162,det_h0-4,0.00309247,0.000107151,2329.61,80.7183,1943.46,1,1.00137,0,10.74,7.50903,2.69267,-0.0974317,7.50903,753317
run0162,det_h0-5,0.00275358,0.000115899,2074.32,87.3087,1943.46,1,0.998835,0,13,7.54583,3.23205,0.0626772,7.54583,753317
run0162,det_h0-6,0.00286779,0.000115297,2160.36,86.8551,1943.46,1,0.998556,0,11.4641,7.59673,2.95594,-0.0285838,7.59673,753317
run0162,det_h0-7,0.00243329,0.000101502,1833.04,76.4633,1943.46,1,1.00182,0,10.7898,7.49472,2.51158,-0.0211494,7.49472,753317
run0162,det_h1-0,0.00281229,0.000102391,2118.55,77.1329,1943.46,1,1.00232,0,10.1775,7.50512,3.24102,-0.00707615,7.50512,753317
run0162,det_h1-1,0.00271606,9.91709e-05,2046.05,74.7071,1943.46,1,1.00686,0,9.36854,7.51737,2.89356,-0.0541736,7.51737,753317
run0162,det_h1-2,0.00218791,0.00010185,1648.19,76.7252,1943.46,1,1.00354,0,13,11,4.63051,-0.0406873,11,753317
run0162,det_h1-3,0.00416132,0.000137456,3134.79,103.548,1943.46,1,1.00969,0,13,11.7139,4.65019,-0.248636,11.7139,753317
run0162,det_h1-4,0.00341676,0.000111763,2573.9,84.1933,1943.46,1,1.00507,0,10.617,7.57616,2.78436,-0.0495817,7.57616,753317
run0165,det_h0-0,0.00988075,0.000201678,4564.31,93.1629,1006.76,1,1.0026,0,9.09979,7.61882,3.0851,-0.105871,7.61882,461939
run0165,det_h0-1,0.00904407,0.000230211,4177.81,106.343,1006.76,1,1.00007,0,13,11.6545,3.26229,-0.196378,11.6545,461939
run0165,det_h0-2,0.00511648,0.000174326,2363.5,80.5279,1006.76,1,1.00182,0,10.6739,11,2.97886,-0.151863,11,461939
run0165,det_h0-3,0.00922854,0.000224101,4263.02,103.521,1006.76,1,1.00092,0,9.80371,11.8195,2.98137,-0.138164,11.8195,461939
run0165,det_h0-4,0.0104647,0.00026239,4834.04,121.208,1006.76,1,1.00136,0,13,11.8043,2.7983,-0.154178,11.8043,461939
run0165,det_h0-5,0.00835006,0.000283751,3857.22,131.076,1006.76,1,0.999135,0,12.16,11.7088,2.58006,-0.149762,11.7088,461939
run0165,det_h0-6,0.00697356,0.000172396,3221.36,79.6364,1006.76,1,0.997081,0,9.8213,7.41902,2.24633,-0.0621375,7.41902,461939
run0165,det_h0-7,0.00793604,0.000420179,3665.97,194.097,1006.76,1,1.00276,0,12.8283,11.6749,2.9036,-0.0787551,11.6749,461939
run0165,det_h1-0,0.00816987,0.000187626,3773.98,86.672,1006.76,1,1.00324,0,10.3816,7.47744,2.38741,-0.144304,7.47744,461939
run0165,det_h1-1,0.00878857,0.0002444,4059.78,112.898,1006.76,1,1.00706,0,13,11.7278,3.38709,-0.129092,11.7278,461939
run0165,det_h1-2,0.00419612,0.00016545,1938.35,76.4277,1006.76,1,1.00174,0,13,11,2.44537,-0.149962,11,461939
run0165,det_h1-3,0.0114091,0.000243239,5270.31,112.362,1006.76,1,1.011,0,13,11.7512,4.28282,-0.282864,11.7512,461939
run0165,det_h1-4,0.0117143,0.000405891,5411.3,187.497,1006.76,1,1.0058,0,12.441,11.8292,3.4307,-0.242928,11.8292,461939
run0167,det_h0-0,0.00775016,0.00019151,3635.26,89.8288,441.133,1,0,0,9.78935,11.6389,2.61823,-0.0899569,11.6389,469056
run0167,det_h0-1,0.00973244,0.000314425,4565.06,147.483,441.133,1,0,0,12.6173,11.5982,3.25446,-0.126634,11.5982,469056
run0167,det_h0-2,0.00329368,0.000138142,1544.92,64.7962,441.133,1,0,0,10.8704,11,2.24385,-0.081676,11,469056
run0167,det_h0-3,0.0058241,0.000194201,2731.83,91.0912,441.133,1,0,0,10.7092,11.5878,1.99815,-0.0642205,11.5878,469056
run0167,det_h0-4,0.00725682,0.000216093,3403.85,101.36,441.133,1,0,0,13,11.6465,2.39975,-0.0954225,11.6465,469056
run0167,det_h0-5,0.00750607,0.000216488,3520.76,101.545,441.133,1,0,0,13,11.6218,1.58461,-0.0712422,11.6218,469056
run0167,det_h0-6,0.00735935,0.000175899,3451.95,82.5064,441.133,1,0,0,10.2521,7.42475,2.12462,-0.103085,7.42475,469056
run0167,det_h0-7,0.00708914,0.000357599,3325.2,167.734,441.133,1,0,0,12.4515,11,2.10124,-0.0857304,11,469056
run0167,det_h1-0,0.00684602,0.000248373,3211.17,116.501,441.133,1,0,0,10.614,11.6291,2.07327,-0.124298,11.6291,469056
run0167,det_h1-1,0.0064282,0.000168634,3015.19,79.0986,441.133,1,0,0,11.3179,7.38377,2.90891,-0.0945112,7.38377,469056
run0167,det_h1-2,0.00400836,0.000154034,1880.14,72.2508,441.133,1,0,0,13,11,2.01085,-0.142291,11,469056
run0167,det_h1-3,0.00864188,0.000205925,4053.53,96.5902,441.133,1,0,0,13,11,3.96701,-0.221842,11,469056
run0167,det_h1-4,0.00991113,0.000229627,4648.88,107.708,441.133,1,0,0,13,11.6505,2.95598,-0.0814864,11.6505,469056
run0168,det_h0-0,0.0365186,0.000449183,9265.74,113.97,236.839,1,0,0,9,11.7765,1.91642,-0.206287,11.7765,253727
run0168,det_h0-1,0.039777,0.000625323,10092.5,158.661,236.839,1,0,0,12.1372,11.7904,7.02827,-0.216211,11.7904,253727
run0168,det_h0-2,0.0139264,0.000325307,3533.5,82.5391,236.839,0,0,0,9.88552,11,1.29425,-0.172037,11,253727
run0168,det_h0-3,0.0264557,0.000380141,6712.53,96.452,236.839,0,0,0,10.1136,7.43669,1.33532,-0.197479,7.43669,253727
run0168,det_h0-4,0.0303918,0.000508619,7711.22,129.05,236.839,1,0,0,12.7162,11,4.87253,-0.190705,11,253727
run0168,det_h0-5,0.030988,0.000537779,7862.5,136.449,236.839,1,0,0,11.2635,11,1.93471,-0.224108,11,253727
run0168,det_h0-6,0.0322495,0.000485485,8182.56,123.181,236.839,0,0,0,9.73766,11.7562,1.25425,-0.261401,11.7562,253727
run0168,det_h0-7,0.0298625,0.000401167,7576.93,101.787,236.839,1,0,0,12.6546,7.47859,4.65253,-0.204272,7.47859,253727
run0168,det_h1-0,0.0295964,0.000537793,7509.4,136.452,236.839,1,0,0,10.9373,11,2.92431,-0.183784,11,253727
run0168,det_h1-1,0.0287155,0.000470454,7285.9,119.367,236.839,1,0,0,11.44,11,5.87696,-0.216662,11,253727
run0168,det_h1-2,0.0154978,0.000330331,3932.21,83.8139,236.839,1,0,0,13,11,3.80999,-0.197992,11,253727
run0168,det_h1-3,0.0252928,0.000419223,6417.47,106.368,236.839,1,0,0,13,11,15.1773,-0.440446,11,253727
run0168,det_h1-4,0.0397352,0.000662662,10081.9,168.135,236.839,1,0,0,12.3553,11.8303,7.2098,-0.203069,11.8303,253727
run0169,det_h0-0,0.0451021,0.000568716,7858.45,99.0913,178.397,1,0,0,9.03857,6.83734,1.6325,-0.173122,6.83734,174237
run0169,det_h0-1,0.0489253,0.000662027,8524.6,115.35,178.397,1,0,0,11.9325,11,6.0778,-0.169283,11,174237
run0169,det_h0-2,0.0191544,0.000432933,3337.41,75.433,178.397,1,0,0,9.83889,11,1.83075,-0.0911351,11,174237
run0169,det_h0-3,0.035056,0.000622132,6108.05,108.398,178.397,1,0,0,9.89545,11,1.72472,-0.186007,11,174237
run0169,det_h0-4,0.0373999,0.000648198,6516.44,112.94,178.397,1,0,0,12.0994,11,4.67873,-0.256941,11,174237
run0169,det_h0-5,0.0394004,0.000728454,6865.01,126.924,178.397,1,0,0,10.7508,11,2.39963,-0.221191,11,174237
run0169,det_h0-6,0.0408869,0.000614836,7124.01,107.127,178.397,1,0,0,9.41875,11,1.54566,-0.21471,11,174237
run0169,det_h0-7,0.0339189,0.000604514,5909.92,105.329,178.397,1,0,0,11.6437,11,3.81508,-0.183208,11,174237
run0169,det_h1-0,0.0344559,0.000641827,6003.49,111.83,178.397,1,0,0,10.1024,11,2.72246,-0.22544,11,174237
run0169,det_h1-1,0.0366973,0.000609968,6394.02,106.279,178.397,1,0,0,11.4514,11,5.13009,-0.147962,11,174237
run0169,det_h1-2,0.0186418,0.000421783,3248.09,73.4902,178.397,1,0,0,13,11,4.93799,-0.182332,11,174237
run0169,det_h1-3,0.0302084,0.000543487,5263.42,94.6955,178.397,1,0,0,13,11,14.5908,-0.340906,11,174237
run0169,det_h1-4,0.0478006,0.000671224,8328.64,116.952,178.397,1,0,0,11.1014,11,7.27816,-0.221972,11,174237
run0170,det_h0-0,0.0515031,0.000629576,9007.95,110.113,162.556,1,0,0,9,11.7116,2.06026,-0.177557,11.7116,174901
run0170,det_h0-1,0.0531144,0.000687657,9289.76,120.272,162.556,1,0,0,11.4622,11,7.26961,-0.239852,11,174901
run0170,det_h0-2,0.0199936,0.000450262,3496.9,78.7512,162.556,1,0,0,9.71525,11,1.59562,-0.141943,11,174901
run0170,det_h0-3,0.0379837,0.000640128,6643.39,111.959,162.556,0,0,0,10.0568,11.6465,1.1246,-0.196051,11.6465,174901
run0170,det_h0-4,0.0417558,0.000661024,7303.14,115.614,162.556,1,0,0,11.9105,11,5.75547,-0.244489,11,174901
run0170,det_h0-5,0.0423963,0.000717114,7415.15,125.424,162.556,1,0,0,10.7507,11.7057,1.63547,-0.236479,11.7057,174901
run0170,det_h0-6,0.0466821,0.000670028,8164.74,117.189,162.556,0,0,0,9.62662,11.7043,1.27035,-0.216643,11.7043,174901
run0170,det_h0-7,0.038488,0.000637029,6731.6,111.417,162.556,1,0,0,11.2453,11.7366,4.00151,-0.277121,11.7366,174901
run0170,det_h1-0,0.0405744,0.000725111,7096.5,126.823,162.556,1,0,0,10.7532,11,3.16281,-0.19198,11,174901
run0170,det_h1-1,0.0397186,0.000637376,6946.82,111.478,162.556,1,0,0,11.0029,11,5.66528,-0.230384,11,174901
run0170,det_h1-2,0.0208015,0.00048124,3638.2,84.1693,162.556,1,0,0,12.6688,11,4.9313,-0.163905,11,174901
run0170,det_h1-3,0.03244,0.000559877,5673.79,97.923,162.556,1,0,0,13,11,19.1506,-0.374303,11,174901
run0170,det_h1-4,0.0544198,0.000712244,9518.08,124.572,162.556,1,0,0,11.7652,11,7.38461,-0.207468,11,174901
run0171,det_h0-0,0.0656997,0.000758202,10453.4,120.636,146.168,1,0,0,9.01983,11.7677,2.11573,-0.187114,11.7677,159108
run0171,det_h0-1,0.0661991,0.000752155,10532.8,119.674,146.168,1,0,0,11.2134,11,7.98023,-0.242866,11,159108
run0171,det_h0-2,0.0268118,0.000527925,4265.98,83.9971,146.168,1,0,0,9.78459,11,1.63465,-0.170001,11,159108
run0171,det_h0-3,0.0487652,0.00073882,7758.93,117.552,146.168,0,0,0,10.2362,11,1.06534,-0.208034,11,159108
run0171,det_h0-4,0.0496933,0.000739364,7906.61,117.639,146.168,1,0,0,11.3232,11,6.57093,-0.250442,11,159108
run0171,det_h0-5,0.0556104,0.000841418,8848.06,133.876,146.168,1,0,0,11.0999,11.7452,1.52597,-0.234937,11.7452,159108
run0171,det_h0-6,0.0593629,0.000783614,9445.11,124.679,146.168,0,0,0,9.77221,11.7581,1.19676,-0.223914,11.7581,159108
run0171,det_h0-7,0.0485637,0.000707215,7726.87,112.524,146.168,1,0,0,10.8801,11,4.41052,-0.230384,11,159108
run0171,det_h1-0,0.0510079,0.000796914,8115.77,126.795,146.168,1,0,0,10.405,11,3.82335,-0.201858,11,159108
run0171,det_h1-1,0.0497221,0.000722213,7911.19,114.91,146.168,1,0,0,10.9736,11,6.13002,-0.216036,11,159108
run0171,det_h1-2,0.0249727,0.000533042,3973.36,84.8112,146.168,1,0,0,11.7761,11,6.3412,-0.191641,11,159108
run0171,det_h1-3,0.0414619,0.000649863,6596.93,103.398,146.168,1,0,0,13,11,21.5946,-0.393548,11,159108
run0171,det_h1-4,0.0665322,0.000784436,10585.8,124.81,146.168,1,0,0,11.0172,11,10.0338,-0.225385,11,159108
run0172,det_h0-0,0.0565151,0.000521308,14573.4,134.428,233.152,1,0,0,9.00078,11,2.80574,-0.211702,11,257867
run0172,det_h0-1,0.0577574,0.000631014,14893.7,162.718,233.152,1,0,0,10.9616,11,9.66106,-0.252982,11,257867
run0172,det_h0-2,0.0237919,0.000383969,6135.14,99.013,233.152,1,0,0,9.98952,11,1.70224,-0.14037,11,257867
run0172,det_h0-3,0.0424363,0.000514199,10942.9,132.595,233.152,1,0,0,10.0676,11.8014,1.47263,-0.205009,11.8014,257867
run0172,det_h0-4,0.0450404,0.000530165,11614.4,136.712,233.152,1,0,0,11.5218,11.9091,8.49654,-0.289677,11.9091,257867
run0172,det_h0-5,0.0478672,0.000482658,12343.4,124.462,233.152,1,0,0,10.9673,6.83734,1.959,-0.266615,6.83734,257867
run0172,det_h0-6,0.0506064,0.000561105,13049.7,144.69,233.152,1,0,0,9.73677,11,1.7494,-0.23877,11,257867
run0172,det_h0-7,0.0427021,0.000509411,11011.5,131.36,233.152,1,0,0,11.333,11.876,6.65501,-0.26494,11.876,257867
run0172,det_h1-0,0.0448147,0.000567713,11556.2,146.394,233.152,1,0,0,10.4931,11,4.02525,-0.214454,11,257867
run0172,det_h1-1,0.0425449,0.000559064,10970.9,144.164,233.152,1,0,0,10.271,11.8867,9.70799,-0.248955,11.8867,257867
run0172,det_h1-2,0.0230696,0.00040252,5948.9,103.797,233.152,1,0,0,12.8319,11,7.02368,-0.216807,11,257867
run0172,det_h1-3,0.0382192,0.000464942,9855.48,119.893,233.152,1,0,0,13,11,27.4707,-0.487697,11,257867
run0172,det_h1-4,0.0585584,0.000573251,15100.3,147.822,233.152,1,0,0,11.4574,11,13.2529,-0.25576,11,257867
run0173,det_h0-0,0.052693,0.000605338,10817.4,124.27,189.258,1,0,0,9.24046,11.7507,2.29645,-0.111005,11.7507,205291
run0173,det_h0-1,0.0545552,0.000620204,11199.7,127.322,189.258,1,0,0,11.641,11.8204,6.99203,-0.18018,11.8204,205291
run0173,det_h0-2,0.0215579,0.000416825,4425.64,85.5704,189.258,0,0,0,10.0444,11,1.29187,-0.102757,11,205291
run0173,det_h0-3,0.0390991,0.000542816,8026.69,111.435,189.258,0,0,0,9.9331,11,1.37523,-0.155799,11,205291
