,a0,a1,a2
3.9960199999999997,1.2181174731203145e-05,0.0,9.021750183074425e-07
4.00097,1.8859035300572975e-05,0.0,2.671994625906393e-06
4.00294,2.223310663264605e-05,0.0,3.0069311765976054e-06
4.00497,2.5435017516026972e-05,0.0,2.702527560640579e-06
4.00697,3.1800267666343267e-05,0.0,1.4510928653816784e-06
4.0090900000000005,3.352525338537533e-05,0.0,-4.778706633456161e-07
4.01003,3.437793766866719e-05,0.0,1.1156385809861595e-06
4.01507,3.8494822557391755e-05,0.0,1.118576929940843e-06
4.0191099999999995,3.809887490274628e-05,0.0,2.37980658448394e-08
4.01992,3.5178744148655396e-05,0.0,2.8332774766386703e-08
4.02504,3.485457731484839e-05,0.0,-1.3526354810785947e-07
4.02998,2.980877433674264e-05,0.0,-3.3158312610367383e-07
4.03514,2.3227629091397898e-05,0.0,-2.5293792756170586e-07
4.26996,1.3240341147432307e-05,0.0,2.485579585769306e-07
4.29005,1.8385124256738038e-05,0.0,1.4100090087173659e-06
4.291119999999999,2.51147324539681e-05,0.0,5.1038118642963175e-06
4.29319,3.108710861066626e-05,0.0,6.2098565037098965e-06
4.2942,3.514484124857679e-05,0.0,7.593883496644632e-06
4.29515,4.239557537486955e-05,0.0,1.1788715603233582e-05
4.29615,4.625068784226174e-05,0.0,1.3419500659532085e-05
4.297219999999999,7.21077331544029e-05,0.0,1.762537637096532e-05
4.298080000000001,0.0002066486747128382,0.0,7.457860202614343e-05
4.2990900000000005,0.00032734603110875837,0.0,0.00011692652769049767
4.30105,0.0004927264868088884,0.0,0.0001392594048890492
4.3031,0.0004959459567103432,0.0,0.00016261860802665185
4.30523,0.0004592163243893238,0.0,0.0001383126025866107
4.30725,0.0004371476272265373,0.0,0.0001398376999397739
4.3093,0.0004399182924509456,0.0,0.00013142823470674018
4.30996,0.00044661408647131277,0.0,0.00012272837438024036
4.31117,0.0004291181000777103,0.0,0.00012315503837366596
4.31311,0.0004349306284071138,0.0,0.0001383007358179402
4.31513,0.00043075455038461455,0.0,0.00015277242098874692
4.3172,0.00042083271625858564,0.0,0.00012633102664976956
4.31917,0.0004118469683379529,0.0,0.00012762118752972015
4.32116,0.0003817629077328376,0.0,0.00012241921501267145
4.32298,0.00034734138587097095,0.0,0.00011612346040689193
4.32521,0.00028162416753851747,0.0,9.158988317198806e-05
