Run,Detector,Yield,Yield err,Area,Area err,Time,Fit Status,a,b,sig1,X2NDF,Linear,Offset,Q_int
run0162,det_h1-1,3.66169e-05,2.73419e-05,27.5841,20.5971,1943.46,0,1.00843,-1.49452,7,2.81156,-0.00716112,18.231,753317
run0162,det_h1-2,3.02125e-15,2.99928e-05,2.27596e-09,22.5941,1943.46,1,0.991589,3.51347,13.9998,1.08693,0.00110168,-0.449584,753317
run0162,det_h1-3,5.07717e-14,0.000890402,3.82472e-08,670.755,1943.46,0,1.00812,3.31951,13.4755,2.05022,0.0112305,-22.2728,753317
run0162,det_h1-4,0.000131982,3.90857e-05,99.4243,29.4439,1943.46,0,1.00875,-2.62141,10.5547,3.26957,-0.00406444,11.0278,753317
run0167,det_h0-0,9.7798e-05,2.41405e-05,45.8727,11.3233,441.133,1,0,0,7,1.15282,-0.0099301,23.7089,469056
run0167,det_h0-1,8.46339e-05,3.52018e-05,39.698,16.5116,441.133,1,0,0,13.9986,1.29045,0.00321342,-5.44066,469056
run0167,det_h0-2,0.000138497,3.72775e-05,64.9627,17.4852,441.133,1,0,0,7.26575,0.78387,-0.00465394,11.9422,469056
run0167,det_h0-3,0.000116629,3.50516e-05,54.7054,16.4412,441.133,1,0,0,14,1.12987,-0.00618794,15.5238,469056
run0167,det_h0-4,0.00013062,2.8858e-05,61.2681,13.536,441.133,1,0,0,7.19724,1.03587,-0.00453388,11.8809,469056
run0167,det_h0-5,4.91474e-05,3.85738e-05,23.0529,18.0933,441.133,0,0,0,14,1.57547,0.0155069,-31.781,469056
run0167,det_h0-6,0.000248356,4.2606e-05,116.493,19.9846,441.133,1,0,0,14,0.992229,-0.00284936,8.2238,469056
run0167,det_h0-7,0.000134704,3.80649e-05,63.1837,17.8546,441.133,1,0,0,14,1.25501,0.0086977,-17.2692,469056
run0167,det_h1-0,8.565e-05,2.72273e-05,40.1746,12.7711,441.133,1,0,0,7,1.2536,0.00820401,-16.3039,469056
run0167,det_h1-1,3.18163e-05,3.46225e-05,14.9236,16.2399,441.133,0,0,0,14,1.72339,0.00204863,-2.46793,469056
run0167,det_h1-2,5.60475e-05,3.46403e-05,26.2894,16.2483,441.133,1,0,0,8.18864,1.08094,0.00646202,-12.4986,469056
run0167,det_h1-3,6.87749e-05,5.84549e-05,32.2593,27.4186,441.133,1,0,0,9.3452,1.23038,0.00730912,-13.9621,469056
run0167,det_h1-4,7.12618e-05,3.44106e-05,33.4258,16.1405,441.133,0,0,0,14,1.59534,0.00365686,-6.22689,469056
run0172,det_h0-0,5.67285e-05,7.47585e-05,14.6284,19.2778,233.152,0,0,0,13.0752,0.586892,-0.00311922,8.38639,257867
run0172,det_h0-1,1.43565e-05,3.97239e-05,3.70208,10.2435,233.152,1,0,0,7.21096,0.671942,0.00167728,-2.14705,257867
run0172,det_h0-2,5.59489e-05,4.45032e-05,14.4274,11.4759,233.152,1,0,0,7,0.756387,0.00243969,-3.78293,257867
run0172,det_h0-3,6.80784e-05,3.69558e-05,17.5552,9.52967,233.152,1,0,0,7,0.916517,-0.00391253,10.4214,257867
run0172,det_h0-4,0.000101524,6.09089e-05,26.1797,15.7064,233.152,1,0,0,14,1.00219,0.000674545,0.203006,257867
run0172,det_h0-5,8.24034e-12,0.000611121,2.12491e-06,157.588,233.152,1,0,0,12.8654,0.728659,0.00258071,-3.90236,257867
run0172,det_h0-6,8.3483e-05,5.81704e-05,21.5275,15.0002,233.152,1,0,0,13.9999,0.798326,0.00201945,-2.86667,257867
run0172,det_h0-7,0.000136103,6.0165e-05,35.0965,15.5146,233.152,1,0,0,14,0.933798,0.00242223,-3.83191,257867
run0172,det_h1-0,8.83599e-12,6.97955e-05,2.27851e-06,17.998,233.152,1,0,0,13.7153,0.635933,-0.00061323,3.15009,257867
run0172,det_h1-1,5.85128e-05,5.66112e-05,15.0885,14.5982,233.152,1,0,0,14,0.932532,0.00311869,-5.20889,257867
run0172,det_h1-2,6.4043e-13,0.000246346,1.65146e-07,63.5246,233.152,1,0,0,12.9503,0.67932,-0.000515454,2.73708,257867
run0172,det_h1-3,1.58034e-05,3.59232e-05,4.07519,9.26341,233.152,1,0,0,7,0.868267,-0.00177352,5.63184,257867
run0172,det_h1-4,5.9562e-05,4.25491e-05,15.3591,10.972,233.152,1,0,0,7,0.803544,-0.00232289,6.84371,257867
run0173,det_h0-0,0.000270652,8.14278e-05,55.5623,16.7164,189.258,0,0,0,14,0.574706,-0.00265148,7.30051,205291
run0173,det_h0-1,6.99908e-05,5.0421e-05,14.3685,10.351,189.258,1,0,0,7,0.634154,-0.00235546,6.84411,205291
run0173,det_h0-2,8.19156e-05,5.39486e-05,16.8165,11.0752,189.258,1,0,0,7,0.615401,0.00166771,-2.11319,205291
run0173,det_h0-3,6.30303e-05,4.37859e-05,12.9395,8.98885,189.258,1,0,0,7,0.637373,-0.0025334,7.08096,205291
run0173,det_h0-4,2.47593e-05,4.90623e-05,5.08286,10.072,189.258,0,0,0,7.2999,0.54097,0.00228089,-3.50639,205291
run0173,det_h0-5,6.92492e-05,7.02492e-05,14.2162,14.4215,189.258,1,0,0,14,0.788075,0.00131885,-1.35608,205291
run0173,det_h0-6,0.000119529,5.08285e-05,24.5383,10.4346,189.258,1,0,0,7,0.872974,-0.00173533,5.44903,205291
run0173,det_h0-7,0.000116273,8.18124e-05,23.8698,16.7954,189.258,1,0,0,14,0.895583,0.000396649,0.86104,205291
run0173,det_h1-0,1.99557e-13,0.000204089,4.09672e-08,41.8975,189.258,1,0,0,12.3724,0.665279,-0.00357582,9.54047,205291
run0173,det_h1-1,9.48414e-11,0.000510906,1.94701e-05,104.884,189.258,1,0,0,12.4925,0.942652,0.00211964,-3.09791,205291
run0173,det_h1-2,2.65615e-05,4.78831e-05,5.45284,9.82997,189.258,0,0,0,7,0.571561,-0.000280116,2.08287,205291
run0173,det_h1-3,8.37864e-05,4.54858e-05,17.2006,9.33782,189.258,0,0,0,7,0.559274,0.000734923,-0.221791,205291
run0173,det_h1-4,4.80658e-05,4.43533e-05,9.86748,9.10534,189.258,1,0,0,7,0.623095,0.00609582,-11.7649,205291
run0174,det_h0-0,9.84481e-05,8.92143e-05,14.9021,13.5044,139.253,1,0,0,9.84227,0.641078,-0.00221595,6.20976,151370
run0174,det_h0-1,6.78441e-12,0.000580334,1.02696e-06,87.8451,139.253,1,0,0,12.8702,0.652215,-0.00172102,5.30076,151370
run0174,det_h0-2,2.04247e-11,0.000139231,3.09169e-06,21.0755,139.253,0,0,0,10.0408,0.422953,0.00285341,-4.87586,151370
run0174,det_h0-3,0.000176524,0.000104592,26.7205,15.8321,139.253,1,0,0,14,0.702241,0.00113736,-1.01116,151370
run0174,det_h0-4,0.000189163,6.89856e-05,28.6336,10.4424,139.253,0,0,0,7,0.588966,-0.000144007,1.77842,151370
run0174,det_h0-5,6.60362e-05,6.13263e-05,9.99589,9.28297,139.253,1,0,0,7,0.63282,0.00851372,-17.1534,151370
run0174,det_h0-6,4.75469e-05,9.65374e-05,7.19717,14.6129,139.253,1,0,0,14,0.628493,-0.000664659,3.01523,151370
run0174,det_h0-7,0.000196152,0.000103195,29.6915,15.6206,139.253,0,0,0,7.2207,0.583833,-0.000127718,1.70187,151370
run0174,det_h1-0,0.000168166,6.64809e-05,25.4553,10.0632,139.253,1,0,0,7,0.650995,0.00164965,-2.1644,151370
run0174,det_h1-1,9.06544e-13,0.00041854,1.37224e-07,63.3544,139.253,1,0,0,13.9793,0.797086,0.00207101,-2.88006,151370
