,Run,Detector,Yield,Yield err,Fit Status,Ea
0,run0159,det_h0-0,0.0077944,0.00052281,0,5440.81634040209
1,run0159,det_h0-1,0.00904955,0.000628297,0,5440.81634040209
2,run0159,det_h0-2,0.00446703,0.00029666400000000003,0,5440.81634040209
3,run0159,det_h0-3,0.00610607,0.0007642,0,5440.81634040209
4,run0159,det_h0-4,0.00727481,0.000593145,0,5440.81634040209
5,run0159,det_h0-5,0.008214399999999998,0.00099165,0,5440.81634040209
6,run0159,det_h0-6,0.00831615,0.0007526739999999999,0,5440.81634040209
7,run0159,det_h0-7,0.00592501,0.0007805860000000001,0,5440.81634040209
8,run0159,det_h1-0,0.00759333,0.000640767,0,5440.81634040209
9,run0159,det_h1-1,0.00643146,0.00047207099999999996,0,5440.81634040209
10,run0159,det_h1-2,0.00385239,0.000562915,0,5440.81634040209
11,run0159,det_h1-3,0.00703329,0.000522611,0,5440.81634040209
12,run0159,det_h1-4,0.00883856,0.0006702110000000001,0,5440.81634040209
13,run0160,det_h0-0,0.0088387,0.000480032,0,5414.07835333669
14,run0160,det_h0-1,0.00984067,0.000629001,0,5414.07835333669
15,run0160,det_h0-2,0.00466062,0.000508678,0,5414.07835333669
16,run0160,det_h0-3,0.00773591,0.0006267919999999999,0,5414.07835333669
17,run0160,det_h0-4,0.00820661,0.000636953,0,5414.07835333669
18,run0160,det_h0-5,0.00866259,0.0009649089999999999,0,5414.07835333669
19,run0160,det_h0-6,0.00814212,0.000634901,0,5414.07835333669
20,run0160,det_h0-7,0.00705606,0.000484308,0,5414.07835333669
21,run0160,det_h1-0,0.00673858,0.000572424,0,5414.07835333669
22,run0160,det_h1-1,0.00690912,0.000356195,0,5414.07835333669
23,run0160,det_h1-2,0.00443019,0.00021291799999999998,0,5414.07835333669
24,run0160,det_h1-3,0.00940228,0.000355916,0,5414.07835333669
25,run0160,det_h1-4,0.00997389,0.000511959,0,5414.07835333669
26,run0161,det_h0-0,0.00403995,0.000302912,0,5403.41451924703
27,run0161,det_h0-1,0.00509032,0.00059754,0,5403.41451924703
28,run0161,det_h0-2,0.00171089,0.00042953800000000003,0,5403.41451924703
29,run0161,det_h0-3,0.00482919,0.00059971,0,5403.41451924703
30,run0161,det_h0-4,0.00423389,0.00049427,0,5403.41451924703
