Run,Detector,Yield,Yield err,Area,Area err,Time,Fit Status,a,b,sig1,X2NDF,Linear,Offset,Q_int
run0161,det_h1-2,0.00224708,5.3414e-05,1769.81,42.0691,1874.39,1,1.00092,2.43002,13,3.64863,13,-0.12317,787604
run0161,det_h1-3,0.0050767,8.02855e-05,3998.43,63.2331,1874.39,1,1.00661,3.09657,13,2.85416,13,-0.089887,787604
run0161,det_h1-4,0.00543647,8.30816e-05,4281.79,65.4354,1874.39,1,1.00639,-1.92448,10.4693,3.13182,10.4693,-0.031432,787604
run0162,det_h0-0,0.00328289,6.60145e-05,2473.06,49.7299,1943.46,1,1.00343,-2.56628,9.83287,2.97009,9.83287,-0.115571,753317
run0162,det_h0-1,0.00335945,6.67798e-05,2530.73,50.3063,1943.46,1,1.00141,-1.59572,10.4151,3.23464,10.4151,-0.0710536,753317
run0162,det_h0-2,0.00191451,5.04127e-05,1442.24,37.9768,1943.46,1,1.00243,-0.649808,12.1303,6.25741,12.1303,-0.0421338,753317
run0162,det_h0-3,0.00313286,6.44884e-05,2360.04,48.5802,1943.46,1,1.00179,-0.622166,10.7444,2.40195,10.7444,-0.0958257,753317
run0162,det_h0-4,0.00302906,6.34111e-05,2281.84,47.7686,1943.46,1,1.00261,-1.9696,10.4694,2.42702,10.4694,-0.0919673,753317
run0162,det_h0-5,0.00311881,6.43436e-05,2349.45,48.4711,1943.46,1,1.00109,-1.33302,12.7124,2.67411,12.7124,0.0193518,753317
run0162,det_h0-6,0.0033293,6.64795e-05,2508.02,50.0801,1943.46,1,0.998664,-0.268068,10.6957,2.68813,10.6957,-0.0488286,753317
run0162,det_h0-7,0.00241096,5.65726e-05,1816.22,42.6171,1943.46,1,1.00126,0.393907,11.0112,2.97537,11.0112,-0.0598306,753317
run0162,det_h1-0,0.00283572,6.1354e-05,2136.2,46.219,1943.46,1,1.00348,-1.96724,10.0847,2.63027,10.0847,-0.0683764,753317
run0162,det_h1-1,0.00255784,5.82703e-05,1926.86,43.896,1943.46,1,1.0085,-2.32251,9.01939,2.59064,9.01939,-0.0641585,753317
run0162,det_h1-2,0.00186483,4.97543e-05,1404.81,37.4808,1943.46,1,1.00162,2.14246,13,4.86792,13,-0.0759647,753317
run0162,det_h1-3,0.00294495,6.25244e-05,2218.48,47.1007,1943.46,1,1.0063,3.91437,13,2.77272,13,-0.195328,753317
run0162,det_h1-4,0.00328948,6.60808e-05,2478.02,49.7798,1943.46,1,1.00595,-1.8285,10.8256,2.51245,10.8256,-0.0284857,753317
run0165,det_h0-0,0.010412,0.000150132,4809.7,69.352,1006.76,1,1.0034,-2.01209,9.10476,2.35521,9.10476,-0.155942,461939
run0165,det_h0-1,0.00780334,0.000129971,3604.67,60.0389,1006.76,1,1.00138,-1.68435,10.1325,2.86445,10.1325,-0.195029,461939
run0165,det_h0-2,0.00549329,0.00010905,2537.56,50.3742,1006.76,1,1.00254,-1.16051,10.953,3.60482,10.953,-0.153961,461939
run0165,det_h0-3,0.00932946,0.000142114,4309.64,65.6478,1006.76,1,1.00124,-0.284977,9.95215,2.21496,9.95215,-0.176359,461939
run0165,det_h0-4,0.0091463,0.000140712,4225.03,65.0002,1006.76,1,1.00189,-0.86311,11.1604,2.49096,11.1604,-0.130466,461939
run0165,det_h0-5,0.00831452,0.000134161,3840.8,61.9742,1006.76,1,0.999075,0.0615077,12.0884,2.55262,12.0884,-0.130777,461939
run0165,det_h0-6,0.00721368,0.000124964,3332.28,57.7259,1006.76,1,0.99673,0.769205,9.68056,2.28262,9.68056,-0.097054,461939
run0165,det_h0-7,0.00685362,0.000121806,3165.95,56.2668,1006.76,1,1.00227,-0.13573,10.3465,2.55837,10.3465,-0.0937676,461939
run0165,det_h1-0,0.00793136,0.000131033,3663.8,60.5294,1006.76,1,1.00416,-1.78851,10.01,2.88423,10.01,-0.122902,461939
run0165,det_h1-1,0.00733431,0.000126005,3388,58.2066,1006.76,1,1.00844,-2.02725,9.43963,2.16584,9.43963,-0.130593,461939
run0165,det_h1-2,0.00384389,9.12207e-05,1775.64,42.1384,1006.76,1,1.00023,2.5982,11.9405,2.88791,11.9405,-0.0878012,461939
run0165,det_h1-3,0.0101774,0.000148432,4701.35,68.5664,1006.76,1,1.00819,3.82455,13,2.49442,13,-0.171823,461939
run0165,det_h1-4,0.010125,0.000148049,4677.14,68.3896,1006.76,1,1.00566,-1.69664,10.2181,2.47589,10.2181,-0.208994,461939
run0167,det_h0-0,0.00833176,0.000133277,3908.06,62.5145,441.133,1,0,0,9.88344,2.28854,9.88344,-0.0969237,469056
run0167,det_h0-1,0.00877158,0.00013675,4114.36,64.1433,441.133,1,0,0,10.6118,2.44669,10.6118,-0.0994149,469056
run0167,det_h0-2,0.00350552,8.64497e-05,1644.28,40.5498,441.133,1,0,0,11.4395,2.38445,11.4395,-0.0790662,469056
run0167,det_h0-3,0.00592782,0.000112418,2780.48,52.7303,441.133,1,0,0,10.8806,2.26974,10.8806,-0.0625467,469056
run0167,det_h0-4,0.00611525,0.000114181,2868.39,53.5574,441.133,1,0,0,9.64893,1.97795,9.64893,-0.0811667,469056
run0167,det_h0-5,0.00723947,0.000124234,3395.71,58.2728,441.133,1,0,0,13,1.61094,13,-0.0751044,469056
run0167,det_h0-6,0.00739264,0.000125542,3467.56,58.886,441.133,1,0,0,10.124,2.05282,10.124,-0.111946,469056
run0167,det_h0-7,0.00611392,0.000114169,2867.77,53.5516,441.133,1,0,0,10.2861,1.82106,10.2861,-0.0793636,469056
