,a0,a2,a0_err,a2_err,Chi2,Pval,Chi2NDF
3.996021,24159198466790.36,13397201318686.508,537858543031.57104,966626882164.8351,42.452729219610454,4.769780285870267e-08,8.49054584392209
4.000967,22441286740048.543,13937505996773.688,555120577578.6985,999181626773.2684,37.653492549747384,4.428907661769565e-07,7.5306985099494765
4.00294,21072339147837.19,11766527848047.69,541107711389.1163,960638382357.33,33.90646243466662,2.485303101546848e-06,6.781292486933324
4.006972,19996095490979.324,11117583870671.828,533134621074.0231,946662533471.225,36.38522165911961,7.953334058649713e-07,7.277044331823921
4.009086,19706295097943.29,11357242015653.59,572442618113.7767,1003794389738.5442,24.029122083140624,0.0002143330352648594,4.805824416628125
4.010032,19094402731179.32,12345634199677.148,560716803998.2728,997621815067.6385,26.68898931955439,6.5573075949579e-05,5.337797863910878
4.01507,18813597849944.402,10334437820380.936,507852810850.24146,900196347748.2834,23.531201573387904,0.0002670947244772392,4.706240314677581
4.019108,16227700558773.719,10415260977753.549,442927410560.1321,802903332788.1093,19.417586112439707,0.0016064930149179526,3.8835172224879413
4.019916,14020447763390.555,7098019332028.286,469648041675.9824,796861968918.1143,17.295605132702832,0.00397198837730826,3.4591210265405663
4.025044,9754652641120.27,5107827041836.859,371229027618.0735,642154231971.9785,20.07205277883896,0.0012114123086017807,4.014410555767792
4.029979,6161366680498.572,3864266477601.51,262779352562.72748,473148499106.3698,17.096369940700388,0.004320608963476135,3.4192739881400778
4.035141,4609093457640.733,2199538046251.17,229967046911.04565,385167937264.9337,11.196835250653985,0.047614009658345204,2.239367050130797
4.269958,17904086766437.164,3377759599446.9004,473210713683.65955,724995445095.4082,123.72171014726501,5.106780866072317e-25,24.744342029453
4.290051,30085571561001.066,10803501652432.637,705746639603.2189,1172862271496.192,72.79737486557394,2.6792588320540805e-14,14.559474973114789
4.291116000000001,41396079872482.875,17444356230351.402,961127626392.1948,1631981555306.9705,61.27362389913117,6.628504474508492e-12,12.254724779826233
