,a0,a0_err,Chi2,Pval,Chi2NDF
3.996,9.52416076240819e-13,7.010521512096474e-14,21.690667551419352,0.0013774639004170417,3.615111258569892
4.001,7.650817291741354e-13,9.496073590887457e-14,19.147061151214263,0.003922345678318544,3.1911768585357105
4.0029,7.2451719788587e-13,9.53334562513629e-14,2.222886384336185,0.8981010326151201,0.3704810640560308
4.007,8.796814500008998e-13,1.0759223832115957e-13,7.397988867631251,0.2856033269318848,1.2329981446052085
4.0091,1.0343524313167202e-12,1.2945851363115592e-13,6.916926481728093,0.32859821581590265,1.1528210802880154
4.01,8.222528945741862e-13,1.3128642369852733e-13,1.581754594272174,0.9538801236521368,0.263625765712029
4.0151,9.279839733019641e-13,1.0581163220240414e-13,10.462901219191183,0.10646352172182245,1.7438168698651972
4.0191,9.739175736212624e-13,9.264523457355864e-14,28.83169399036657,6.54644641856525e-05,4.805282331727762
4.0199,1.1208683328707054e-12,1.3790040303630437e-13,2.4358716269277823,0.8755744842549666,0.4059786044879637
4.025,1.188905757009904e-12,1.263714095258819e-13,4.648053644879008,0.5896774852297093,0.7746756074798347
4.03,1.3334042167859374e-12,1.1554836028281586e-13,23.53622482433208,0.000635408410550707,3.92270413738868
4.0351,1.14462798874337e-12,1.1217390510791025e-13,9.504899418937226,0.14711025703073483,1.5841499031562043
4.27,3.3375112685187585e-13,7.230915771738728e-14,0.250270936541501,0.992794064531755,0.06256773413537525
4.2901,2.705171887612817e-13,7.151682608427629e-14,1.9916895012131997,0.9204613281832519,0.3319482502021999
4.2911,2.54529897023893e-13,7.279759059656496e-14,1.7877569568104723,0.9381472629241441,0.2979594928017454
4.2932,2.582705925748134e-13,7.208438987279742e-14,2.6296360795081974,0.8536865498491361,0.4382726799180329
4.2942,4.234179521844181e-13,1.0873022837519125e-13,2.353587040103133,0.7983652661476847,0.47071740802062656
4.2951,3.2977696121261313e-13,8.706747889050846e-14,0.8052896686758493,0.9766947257395692,0.16105793373516986
4.2962,2.1837604460210245e-13,6.926299595630541e-14,2.0906525182046547,0.9111752398922522,0.34844208636744245
4.2972,2.9381943644693823e-13,1.0594888889355373e-13,1.8436228842554099,0.9335039867919369,0.30727048070923496
4.2981,2.4558772787411943e-13,9.488426086981177e-14,1.9161534492870818,0.9272460816622443,0.3193589082145136
4.2991,2.4110338254912026e-13,1.2663777589987628e-13,1.2983102391628139,0.7295343658175575,0.43277007972093795
4.3011,4.153514099450282e-13,2.021862367168825e-13,0.7029238866071286,0.8725160068289316,0.23430796220237618
4.3031,2.839198683918029e-13,1.5479030839855862e-13,1.5587046897391805,0.6687890688633038,0.5195682299130602
4.3052,3.3226299286296517e-13,1.4587736359201672e-13,0.9659875254388649,0.9149087866235712,0.24149688135971623
4.3072,6.87735702812074e-13,2.6639088355381195e-13,0.7195498503944581,0.9818785284214288,0.1439099700788916
4.3093,5.175647089291313e-13,2.3482147977763845e-13,1.2958891142806843,0.8620726175830468,0.3239722785701711
4.31,4.950221945064037e-13,1.9450274351854033e-13,0.9072577234550703,0.9696939793671935,0.18145154469101404
4.3112,1.9146426585871925e-13,8.670993320374722e-14,1.2781373634666693,0.8650737823336739,0.3195343408666673
4.3131,4.074409554817647e-13,2.312950343516257e-13,0.5892007368156784,0.7448291852704039,0.2946003684078392
4.3151,2.1972469663383415e-13,1.097525848262798e-13,0.9150721340566323,0.8217891168154301,0.3050240446855441
4.3192,1.7204009104164399e-13,7.276016119351153e-14,1.793840294792949,0.8768718254553495,0.3587680589585898
4.3212,3.030294236664453e-13,1.3409573101061978e-13,2.2779230399206787,0.8095038634057776,0.45558460798413575
