1285,1400,1400,1390,1360,1430,1410,1420,1410,1430,1420,1410,1410,
1360,1480,1485,1480,1440,1510,1480,1500,1480,1510,1510,1490,1490,
1740,1885,1923,1890,1841,1934,1895,1913,1890,1924,1936,1895,1898,
1840,2034,2048,2036,2007,2090,2037,2065,2018,2059,2085,2097,2035,
