,0,a0err,Pval,Order
4.52524,0.0008732187177481978,2.0599552127587482e-05,0.3782501279475505,2
4.5294099999999995,0.0008727126516192899,1.977511910795274e-05,0.7915191891228954,2
4.53506,0.0015233102868435983,3.499427860988376e-05,0.8943914580353295,2
4.54024,0.0016888984464066212,4.0036830056385104e-05,0.6652312085011609,2
4.5498,0.002178292359697247,4.680847490061552e-05,0.9308034781807543,2
4.56018,0.003280326288029901,6.609412481791473e-05,0.5948635424750568,0
4.570130000000001,0.003044235001703693,6.849388861403615e-05,0.5425741464759841,2
4.580030000000001,0.0015526484593126704,3.717184480612735e-05,0.4473568429155289,2
4.59008,0.0008312018768874593,1.9743166833611732e-05,0.9193568645724813,2
4.60027,0.0006725699451283915,1.6013549273197893e-05,0.6946438601172662,2
4.60999,0.001514886081047422,3.404026560848066e-05,0.7711859502614861,2
4.62023,0.0016992649839157352,3.9277556595200204e-05,0.5951231049847572,2
4.62994,0.00123996334352091,2.9401688783007892e-05,0.9026493307062342,4
4.63517,0.0006543384203226773,1.547496262530584e-05,0.7665230781237045,2
4.639959999999999,0.0003906813596474118,9.871443590630017e-06,0.7747608721988214,4
4.64996,0.0003223075564710462,7.938152427714686e-06,0.3731987523410313,2
4.67012,0.00016736097659467096,4.368697081585019e-06,0.9748305641359346,4
4.68015,8.763542488436043e-05,2.3526900716316215e-06,0.5940082931734371,2
4.68993,6.710857730458575e-05,1.7995371186287749e-06,0.6788263393597187,2
4.71002,5.439816353170118e-05,1.384269167635277e-06,0.8666632628484277,2
4.73,4.977018475261732e-05,1.3685963002676055e-06,0.9756315546019847,2
4.75,6.82383982711104e-05,1.8713439499076107e-06,0.8795783715953144,2
4.75518,0.0001217656604371637,3.323979063197566e-06,0.5557421324155962,2
4.75888,0.00013871032327907802,3.674114287561118e-06,0.7497784235460684,2
4.77004,0.00016881568607857834,4.392732325163261e-06,0.7872119803593788,2
4.77502,0.00025559083390287696,6.35254104758398e-06,0.7538487771132638,2
4.7801800000000005,0.0005434693804299464,1.3797122944389666e-05,0.48813149594034666,4
4.79012,0.0006779690422635537,1.5658273815633454e-05,0.7791126943757669,2
4.799919999999999,0.0005586171542598695,1.2891565886628217e-05,0.9357996946172649,2
4.81003,0.0002688094193977435,6.831268913125372e-06,0.7102937420514703,2
4.8121599999999995,0.0001292333247468629,3.5114503661523693e-06,0.9915006654703531,2
4.81527,8.013980226359964e-05,2.226667660885532e-06,0.9023495259317241,2
4.82006,4.359624892216887e-05,1.3250179904878222e-06,0.9721488015997904,4
4.82989,2.8077973876061428e-05,8.133005748168787e-07,0.8619236274796229,2
4.85003,2.0055355383425633e-05,6.830593267790612e-07,0.36680372142190765,4
4.86629,1.975260911769465e-05,7.106705648436277e-07,0.8484239654881154,4
4.88989,2.3009030907848725e-05,6.722620227666428e-07,0.27393325756889003,2
4.89991,4.3233748925828753e-05,1.18212028785099e-06,0.6480298704025955,0
4.9101300000000005,6.247938300185442e-05,1.6743611204690794e-06,0.7805811986327066,2
4.91996,7.807310158599218e-05,2.1441832813875773e-06,0.7685280201987514,2
4.92615,7.967621235137886e-05,1.7570585065288583e-06,0.9648621709325093,0
4.9301900000000005,8.10510789669452e-05,1.9267204462836632e-06,0.5767100379920553,0
4.93692,7.76126580613337e-05,1.8956639104222684e-06,0.5790818542020812,2
4.94675,8.159241531670373e-05,1.816038009886793e-06,0.35359242786595035,0
4.95027,8.063469104784812e-05,2.1163458244378315e-06,0.477275055802431,2
4.95676,8.574269057077089e-05,2.167780681882548e-06,0.9527899246622027,4
4.961869999999999,9.06324156309717e-05,2.1844421513715204e-06,0.792144079926306,2
4.96475,9.52334256792443e-05,2.3223766728590757e-06,0.8584254034584967,2
4.96787,9.624753864031509e-05,2.3495975614717625e-06,0.7053170130399972,2
4.97004,0.00010030988355317385,2.570236859102792e-06,0.24908529442286886,2
4.9728,9.803536252331628e-05,2.2774311904027598e-06,0.6973108331003028,2
4.97463,9.741317494068214e-05,2.375092536576755e-06,0.6369424962370125,2
4.98471,8.081944266589945e-05,2.0550387883886754e-06,0.8821235500349397,4
4.990069999999999,7.937612911102048e-05,2.083314525240369e-06,0.4678310777530833,2
4.994669999999999,6.343419911593169e-05,1.5954640462147648e-06,0.49852366484293065,2
5.00464,5.0338388624423635e-05,1.2747549920201275e-06,0.9977311800541975,2
5.00999,5.401702904077393e-05,1.5598101382253093e-06,0.9139693580648245,2
5.01484,6.815903658984634e-05,1.7313898526949904e-06,0.7022149718957331,2
5.01774,9.243140812667637e-05,2.351773014408291e-06,0.8391992314081619,4
5.01786,8.942802022216339e-05,2.1881115401793946e-06,0.999889651479623,2
5.019819999999999,0.0001443886327355593,3.480980898374894e-06,0.9947875635467961,2
5.0248,0.0002654218462851948,6.684380396833459e-06,0.9724576503959843,4
5.027830000000001,0.0002924098546776279,7.470822180918434e-06,0.9989151995529194,4
5.0301,0.0003099524921668068,7.79802702331581e-06,0.2882160597869962,2
5.032780000000001,0.0003483479683084869,8.255435670106582e-06,0.9929984057770571,2
5.0359,0.00039902993858900054,9.286568375295233e-06,0.9990364095872052,2
5.03871,0.00041796011847435385,9.686472305550173e-06,0.9968155067738231,2
5.041980000000001,0.000406405634503354,9.665130061681822e-06,0.9974780573634514,2
5.04479,0.0003702977703709593,8.764531275729831e-06,0.9965398925492891,2
5.04997,0.0002948995257876882,7.195132799778955e-06,0.8695338284206707,2
5.05484,0.00021102219695675776,5.360549500178153e-06,0.9202598909705736,4
5.0648800000000005,0.00014192545073225186,3.62418807028225e-06,0.9913414022262268,2
5.06991,0.00011543677405705669,3.341716402416133e-06,0.7771713275077231,4
5.07448,9.372501604667109e-05,2.452265822121437e-06,0.9367704241684013,2
5.08419,8.042128861528934e-05,2.26786626848725e-06,0.8037385202096803,2
5.08999,8.897929006132467e-05,2.649263371786433e-06,0.7453402654059935,4
5.093719999999999,0.0003279356805084029,8.120616816129675e-06,0.9073396840066429,2
5.09676,0.0006289872000099419,1.378791011995457e-05,0.9180554191362373,2
5.09889,0.0007002477910124301,1.571137051438786e-05,0.9714153490722611,2
5.09999,0.000734529137036864,1.6709680772667123e-05,0.9837859951384328,2
5.10043,0.0007194687470010965,1.6372425051941335e-05,0.9538302815808336,2
5.100709999999999,0.0007164243969765234,1.629969164469694e-05,0.972766056029247,2
