,a0,a1,a2,a3,a4,a5,a6,a7,a8
3.9960199999999997,1.227370072137639e-05,0.0,9.340900180313157e-07,0.0,-1.2579125264961281e-06,0.0,8.442600081527382e-07,0.0,5.58185142993955e-07
4.00097,1.9007800002645932e-05,0.0,4.258657526938108e-06,0.0,-4.854259638177373e-06,0.0,3.763551904311092e-06,0.0,-2.1363128982650224e-06
4.00294,2.2710111930856373e-05,0.0,4.416360186155185e-06,0.0,-6.193499894985893e-06,0.0,5.532846663553004e-06,0.0,-4.116503883589908e-06
4.00497,2.5938497740009305e-05,0.0,3.559660404226578e-06,0.0,-6.953732945768354e-06,0.0,4.584821930512044e-06,0.0,5.929063677735315e-07
4.00697,3.226005522640825e-05,0.0,1.0264902482158158e-06,0.0,-4.5750904835070694e-06,0.0,4.664729057009114e-06,0.0,5.089459963264082e-07
4.0090900000000005,3.426044251784428e-05,0.0,2.698322308444394e-07,0.0,-6.005125133234448e-06,0.0,4.267408050961775e-06,0.0,-1.552011611057834e-06
4.01003,3.48416512565846e-05,0.0,5.223232412458189e-07,0.0,-2.155055301206511e-06,0.0,4.157457638308305e-06,0.0,-1.559750203638901e-06
4.01507,3.8917454070050745e-05,0.0,1.092325812486322e-06,0.0,-4.039637356832399e-06,0.0,4.213182286720605e-06,0.0,-5.463057718921866e-07
4.0191099999999995,3.857635635272627e-05,0.0,4.23065561328721e-07,0.0,-3.908294233367207e-06,0.0,3.5576938497761755e-06,0.0,-1.284525498079639e-06
4.01992,3.5753452947204816e-05,0.0,-5.340380945323338e-07,0.0,-3.1641900216270626e-06,0.0,4.9774385512010905e-06,0.0,-1.667917054176814e-06
4.02504,3.5649024424951465e-05,0.0,1.0868439436561424e-06,0.0,-5.8193430883039425e-06,0.0,3.3938345551635e-06,0.0,-2.5006008918578358e-06
4.02998,3.0201388678654438e-05,0.0,-2.987706216924796e-07,0.0,-3.929244517367763e-06,0.0,3.2363117757551077e-06,0.0,4.621627817763177e-08
4.03514,2.3692597325052095e-05,0.0,-2.3676307235247342e-07,0.0,-4.374837460958595e-06,0.0,5.203461601396578e-06,0.0,-1.5987998222780666e-06
4.26996,1.3173530124971474e-05,0.0,-4.588813332491068e-08,0.0,-2.1994905375376105e-07,0.0,9.284097644353866e-08,0.0,1.1613343710995489e-06
4.29005,1.8615064918209406e-05,0.0,1.3599379202505274e-06,0.0,-1.364912903896503e-06,0.0,1.7043151446573615e-06,0.0,-5.735957632765502e-07
