Run,Detector,Yield,Yield err,Fit Status
run0159,det_h0-0,0.00510488,0.000293822,0
run0159,det_h0-1,0.0045313,0.000275222,0
run0159,det_h0-2,0.00262976,0.000251737,0
run0159,det_h0-3,0.00425888,0.000298042,0
run0159,det_h0-4,0.00357591,0.000280143,0
run0159,det_h0-5,0.00482535,0.000311115,0
run0159,det_h0-6,0.00490843,0.000300181,0
run0159,det_h0-7,0.00363675,0.000274309,0
run0159,det_h1-0,0.00360884,0.000273898,0
run0159,det_h1-1,0.00338689,0.000268901,0
run0159,det_h1-2,0.00216432,0.000245291,0
run0159,det_h1-3,0.00427679,0.00028977,0
run0159,det_h1-4,0.0055666,0.000302896,0
run0160,det_h0-0,0.00390999,0.000228101,0
run0160,det_h0-1,0.00363871,0.000218839,0
run0160,det_h0-2,0.00136553,0.00017959,0
run0160,det_h0-3,0.00271068,0.000219009,0
run0160,det_h0-4,0.00311916,0.00024055,0
run0160,det_h0-5,0.00313379,0.000236492,0
run0160,det_h0-6,0.00324217,0.000225619,0
run0160,det_h0-7,0.00255629,0.000223934,0
run0160,det_h1-0,0.00285976,0.000226114,0
run0160,det_h1-1,0.00278225,0.000219299,0
run0160,det_h1-2,0.00167206,0.000199038,0
run0160,det_h1-3,0.00367875,0.000243104,0
run0160,det_h1-4,0.00357776,0.000228456,0
run0161,det_h0-0,0.00316799,0.000213502,0
run0161,det_h0-1,0.00300509,0.000204658,0
run0161,det_h0-2,0.00139361,0.000180455,0
run0161,det_h0-3,0.00196877,0.000202759,0
run0161,det_h0-4,0.0022075,0.000209523,0
run0161,det_h0-5,0.00244361,0.000225859,0
run0161,det_h0-6,0.00266126,0.000215927,0
run0161,det_h0-7,0.00190973,0.000199238,0
run0161,det_h1-0,0.00227687,0.000211331,0
run0161,det_h1-1,0.00237581,0.000197,0
run0161,det_h1-2,0.00111592,0.000169937,0
run0161,det_h1-3,0.0024828,0.000207085,0
run0161,det_h1-4,0.00350263,0.000214496,0
run0162,det_h0-0,0.00310956,0.000213313,0
run0162,det_h0-1,0.0029728,0.000210929,0
run0162,det_h0-2,0.00116809,0.00017453,0
run0162,det_h0-3,0.00215892,0.000211171,0
run0162,det_h0-4,0.00211936,0.000223818,0
run0162,det_h0-5,0.00214793,0.000222816,0
run0162,det_h0-6,0.00289357,0.000226681,0
run0162,det_h0-7,0.00178584,0.000211163,0
run0162,det_h1-0,-0.00087989,0.000225004,0
run0162,det_h1-1,0.00230237,0.000201363,0
run0162,det_h1-2,0.000981633,0.000166638,0
run0162,det_h1-3,0.00257491,0.00022146,0
run0162,det_h1-4,0.0030128,0.000217258,0
run0165,det_h0-0,0.00987962,0.000346623,0
run0165,det_h0-1,0.00735687,0.000309133,0
run0165,det_h0-2,0.00482166,0.000270226,0
run0165,det_h0-3,0.00981229,0.000351123,0
run0165,det_h0-4,0.00939883,0.000344779,0
run0165,det_h0-5,0.00856568,0.000339741,0
run0165,det_h0-6,0.00724841,0.000316178,0
run0165,det_h0-7,0.00819069,0.000327377,0
run0165,det_h1-0,0.00808997,0.000324848,0
run0165,det_h1-1,0.00801213,0.000316592,0
run0165,det_h1-2,0.0035203,0.000264636,0
run0165,det_h1-3,0.00891635,0.000339934,0
run0165,det_h1-4,0.00979808,0.000350054,0
run0167,det_h0-0,0.00889095,0.00028714,0
run0167,det_h0-1,0.00847701,0.000276348,0
run0167,det_h0-2,0.00372233,0.000214427,0
run0167,det_h0-3,0.0074025,0.000284868,0
run0167,det_h0-4,0.00794229,0.000289238,0
run0167,det_h0-5,0.00834086,0.0002999,0
run0167,det_h0-6,0.00903453,0.000300082,0
run0167,det_h0-7,0.00787323,0.000287788,0
run0167,det_h1-0,0.00748237,0.000281949,0
run0167,det_h1-1,0.00739271,0.000274417,0
run0167,det_h1-2,0.00357416,0.000211267,0
run0167,det_h1-3,0.00765011,0.000280365,0
run0167,det_h1-4,0.00928054,0.000294902,0
run0168,det_h0-0,0.0333562,0.000604001,0
run0168,det_h0-1,0.0316462,0.000585696,0
run0168,det_h0-2,0.0138784,0.000409472,0
run0168,det_h0-3,0.0259151,0.000563749,0
run0168,det_h0-4,0.0307172,0.000598395,0
run0168,det_h0-5,0.0336658,0.000623041,0
run0168,det_h0-6,0.0363602,0.000632861,0
run0168,det_h0-7,0.0309419,0.000589871,0
run0168,det_h1-0,0.0298236,0.000588368,0
run0168,det_h1-1,0.029153,0.000584501,0
run0168,det_h1-2,0.014124,0.000421289,0
run0168,det_h1-3,0.0289571,0.000577227,0
run0168,det_h1-4,0.0348293,0.000619039,0
run0169,det_h0-0,0.0386871,0.000778687,0
run0169,det_h0-1,0.0376295,0.000756327,0
run0169,det_h0-2,0.0155875,0.000518447,0
run0169,det_h0-3,0.0313963,0.000728191,0
run0169,det_h0-4,0.0356232,0.000767309,0
run0169,det_h0-5,0.0393416,0.000788106,0
run0169,det_h0-6,0.0431561,0.000812472,0
run0169,det_h0-7,0.0340131,0.00074505,0
run0169,det_h1-0,0.0347664,0.000755935,0
run0169,det_h1-1,0.0328272,0.000732836,0
