,a0,a0err,fitOrder,splineX,splineY
2.4853,2.45807847568532e-30,6.056287135645477e-32,4,2.4853,2.45807847568532e-30
2.4857,3.412530403629693e-30,8.40604559616825e-32,4,2.4857,3.412530403629693e-30
2.4861,4.713701154894429e-30,1.1608633806058143e-31,4,2.4861,4.713701154894429e-30
2.4865,6.47900225350146e-30,1.5952754398765014e-31,4,2.4865,6.47900225350146e-30
2.487,8.862814117485572e-30,2.1817769894579924e-31,4,2.487,8.862814117485572e-30
2.4874,1.2067005833742481e-29,2.969935605220424e-31,4,2.4874,1.2067005833742481e-29
2.4878,1.6354752616690464e-29,4.024437501961173e-31,4,2.4878,1.6354752616690464e-29
2.4883,2.20679486008378e-29,5.42920592115981e-31,4,2.4883,2.20679486008378e-29
2.4887,2.9647759387706576e-29,7.292631760370659e-31,4,2.4887,2.9647759387706576e-29
2.4891,3.966278299450164e-29,9.754246995271491e-31,4,2.4891,3.966278299450164e-29
2.4895,5.28423885150386e-29,1.2993018402878395e-30,4,2.4895,5.28423885150386e-29
2.49,7.011614058928585e-29,1.7237127979042915e-30,4,2.49,7.011614058928585e-29
2.4904,9.267365364364567e-29,2.2778633068665336e-30,4,2.4904,9.267365364364567e-29
2.4908,1.2201322645708669e-28,2.9984821614052902e-30,4,2.4908,1.2201322645708669e-28
2.4913,1.6003892694900384e-28,3.932281378483e-30,4,2.4913,1.6003892694900384e-28
2.4917,2.091474141190908e-28,5.138031267049661e-30,4,2.4917,2.091474141190908e-28
2.4921,2.7234382323101986e-28,6.689439466789609e-30,4,2.4921,2.7234382323101986e-28
2.4925,3.5339297539530094e-28,8.678756820869234e-30,4,2.4925,3.5339297539530094e-28
2.493,4.569874592024999e-28,1.1221081888849169e-29,4,2.493,4.569874592024999e-28
2.4934,5.88961738147423e-28,1.445935651353786e-29,4,2.4934,5.88961738147423e-28
2.4938,7.565595351246532e-28,1.8571007477673938e-29,4,2.4938,7.565595351246532e-28
2.4943,9.687247602488093e-28,2.3775251780356764e-29,4,2.4943,9.687247602488093e-28
2.4947,1.236513640302062e-27,3.034320866074556e-29,4,2.4947,1.236513640302062e-27
2.4951,1.5734680726138742e-27,3.8606098204857994e-29,4,2.4951,1.5734680726138742e-27
2.4955,1.9961816117460792e-27,4.897038796498881e-29,4,2.4955,1.9961816117460792e-27
2.496,2.525055723074742e-27,6.193618492418564e-29,4,2.496,2.525055723074742e-27
2.4964,3.1847913044789977e-27,7.810752668765763e-29,4,2.4964,3.1847913044789977e-27
2.4968,4.0055210468069074e-27,9.822236609347312e-29,4,2.4968,4.0055210468069074e-27
2.4973,5.0237992492877e-27,1.2317562628304959e-28,4,2.4973,5.0237992492877e-27
2.4977,6.283866024181876e-27,1.540503387418531e-28,4,2.4977,6.283866024181876e-27
2.4981,7.839098288824946e-27,1.9215253883448527e-28,4,2.4981,7.839098288824946e-27
2.4985,9.753509718594801e-27,2.3904678289449537e-28,4,2.4985,9.753509718594801e-27
2.499,1.2104847875874017e-26,2.966390492459328e-28,4,2.499,1.2104847875874017e-26
2.4994,1.498527173003522e-26,3.6718135500480795e-28,4,2.4994,1.498527173003522e-26
2.4998,1.8505214520830403e-26,4.533772717109188e-28,4,2.4998,1.8505214520830403e-26
2.5003,2.2797278354153313e-26,5.584676489148436e-28,4,2.5003,2.2797278354153313e-26
2.5007,2.801831933943374e-26,6.862930733688292e-28,4,2.5007,2.801831933943374e-26
2.5011,3.435537298129105e-26,8.414295522062496e-28,4,2.5011,3.435537298129105e-26
2.5015,4.203018450930572e-26,1.0292984346447913e-27,4,2.5015,4.203018450930572e-26
2.502,5.130431607356765e-26,1.2563114104353996e-27,4,2.502,5.130431607356765e-26
2.5024,6.248876127019629e-26,1.5300850003595132e-27,4,2.5024,6.248876127019629e-26
2.5028,7.594967633593452e-26,1.8596179750749717e-27,4,2.5028,7.594967633593452e-26
2.5033,9.211948013909857e-26,2.2556161716169767e-27,4,2.5033,9.211948013909857e-26
2.5037,1.1152058469342863e-25,2.731520617105555e-27,4,2.5037,1.1152058469342863e-25
2.5041,1.348135997421361e-25,3.307700598258854e-27,4,2.5041,1.348135997421361e-25
2.5045,1.62129497789103e-25,3.962969479188571e-27,4,2.5045,1.62129497789103e-25
2.505,1.9511713514098258e-25,4.770961373640764e-27,4,2.505,1.9511713514098258e-25
2.5054,2.343040058546777e-25,5.729483613535435e-27,4,2.5054,2.343040058546777e-25
2.5058,2.80811627115263e-25,6.866563196077792e-27,4,2.5058,2.80811627115263e-25
2.5063,3.359107631513748e-25,8.213422765574347e-27,4,2.5063,3.359107631513748e-25
2.5067,4.0108450360897745e-25,9.806325706161563e-27,4,2.5067,4.0108450360897745e-25
2.5071,4.78039588969386e-25,1.1686922556758188e-26,4,2.5071,4.78039588969386e-25
2.5075,5.68740626556895e-25,1.390320044447847e-26,4,2.5075,5.68740626556895e-25
2.508,6.754752270853563e-25,1.651104209083067e-26,4,2.508,6.754752270853563e-25
2.5084,8.008693745144621e-25,1.9574424512207028e-26,4,2.5084,8.008693745144621e-25
2.5088,9.479269262568432e-25,2.316662420430099e-26,4,2.5088,9.479269262568432e-25
2.5093,1.1201596751638649e-24,2.737355865351528e-26,4,2.5093,1.1201596751638649e-24
2.5097,1.3215252852045426e-24,3.229164391788982e-26,4,2.5097,1.3215252852045426e-24
2.5101,1.5565927068261507e-24,3.8032217214306454e-26,4,2.5101,1.5565927068261507e-24
2.5105,1.830570178849255e-24,4.472237927387167e-26,4,2.5105,1.830570178849255e-24
2.511,2.1494323844322833e-24,5.250784233280914e-26,4,2.511,2.1494323844322833e-24
2.5114,2.520011520795513e-24,6.155557355363866e-26,4,2.5114,2.520011520795513e-24
2.5118,2.9500722616794055e-24,7.205458221018574e-26,4,2.5118,2.9500722616794055e-24
2.5123,3.4483523461387085e-24,8.421782874665586e-26,4,2.5123,3.4483523461387085e-24
2.5127,4.025018906215185e-24,9.829294303697192e-26,4,2.5127,4.025018906215185e-24
2.5131,4.691347821443318e-24,1.1455583283678745e-25,4,2.5131,4.691347821443318e-24
2.5135,5.46026785655777e-24,1.3332108059949798e-25,4,2.5135,5.46026785655777e-24
2.514,6.346474958080741e-24,1.5494659551839466e-25,4,2.514,6.346474958080741e-24
2.5144,7.366457968431332e-24,1.7983464243242593e-25,4,2.5144,7.366457968431332e-24
2.5148,8.53891364598718e-24,2.084411401414823e-25,4,2.5148,8.53891364598718e-24
2.5153,9.884854977872287e-24,2.4127833295354336e-25,4,2.5153,9.884854977872287e-24
2.5157,1.1427851559201112e-23,2.7891817363652525e-25,4,2.5157,1.1427851559201112e-23
2.5161,1.3194613857367675e-23,3.2201395980063525e-25,4,2.5161,1.3194613857367675e-23
2.5165,1.5215769757038357e-23,3.713097446261104e-25,4,2.5165,1.5215769757038357e-23
2.517,1.7524387864490848e-23,4.276176737049556e-25,4,2.517,1.7524387864490848e-23
2.5174,2.0158471680781175e-23,4.9185481730986405e-25,4,2.5174,2.0158471680781175e-23
2.5178,2.3160734191612715e-23,5.65067468924741e-25,4,2.5178,2.3160734191612715e-23
2.5183,2.6577850728930076e-23,6.4839033500419315e-25,4,2.5183,2.6577850728930076e-23
2.5187,3.0463639583332275e-23,7.431333222985038e-25,4,2.5187,3.0463639583332275e-23
2.5191,3.4877114520565905e-23,8.507343486251735e-25,4,2.5191,3.4877114520565905e-23
2.5195,3.988488971909117e-23,9.728113047321284e-25,4,2.5195,3.988488971909117e-23
2.52,4.5559456951396617e-23,1.1111392246212066e-24,4,2.52,4.5559456951396617e-23
2.5204,5.198413955813347e-23,1.2677445846108218e-24,4,2.5204,5.198413955813347e-23
2.5208,5.924957567309993e-23,1.4448262479277845e-24,4,2.5208,5.924957567309993e-23
2.5213,6.745790765657559e-23,1.6448774520539005e-24,4,2.5213,6.745790765657559e-23
2.5217,7.672246597580658e-23,1.8706644880410476e-24,4,2.5217,7.672246597580658e-23
2.5221,8.716613466286288e-23,2.125145629406266e-24,4,2.5221,8.716613466286288e-23
2.5225,9.893087476967906e-23,2.411816603535649e-24,4,2.5225,9.893087476967906e-23
2.523,1.1216689612512288e-22,2.7343139034702937e-24,4,2.523,1.1216689612512288e-22
2.5234,1.2704926703373081e-22,3.096919603443934e-24,4,2.5234,1.2704926703373081e-22
2.5238,1.4375737672979238e-22,3.503936182493953e-24,4,2.5238,1.4375737672979238e-22
2.5243,1.6250991509670585e-22,3.960768206826033e-24,4,2.5243,1.6250991509670585e-22
2.5247,1.8352659296019955e-22,4.472719203363585e-24,4,2.5247,1.8352659296019955e-22
2.5251,2.070653743821931e-22,5.046076191769722e-24,4,2.5251,2.070653743821931e-22
2.5255,2.3340419294335833e-22,5.687577729736729e-24,4,2.5255,2.3340419294335833e-22
2.526,2.628477090782972e-22,6.404636012405277e-24,4,2.526,2.628477090782972e-22
2.5264,2.9573277685282766e-22,7.205494986198975e-24,4,2.5264,2.9573277685282766e-22
2.5268,3.3243896837889124e-22,8.09932925032793e-24,4,2.5268,3.3243896837889124e-22
2.5273,3.733611256868215e-22,9.095773072483532e-24,4,2.5273,3.733611256868215e-22
2.5277,4.1895202716100373e-22,1.0205834282729641e-23,4,2.5277,4.1895202716100373e-22
2.5281,4.697047489905691e-22,1.1441499493229236e-23,4,2.5281,4.697047489905691e-22
2.5285,5.261433388042011e-22,1.281557772327564e-23,4,2.5285,5.261433388042011e-22
2.529,5.8887274228273e-22,1.434263604298696e-23,4,2.529,5.8887274228273e-22
2.5294,6.585274233146424e-22,1.6038219713150256e-23,4,2.5294,6.585274233146424e-22
2.5298,7.358077920020806e-22,1.7919293429441173e-23,4,2.5298,7.358077920020806e-22
2.5303,8.214952220860338e-22,2.0004968238985335e-23,4,2.5303,8.214952220860338e-22
2.5307,9.164238412516238e-22,2.231547466838255e-23,4,2.5307,9.164238412516238e-22
2.5311,1.021495441284289e-21,2.4872582593787035e-23,4,2.5311,1.021495441284289e-21
2.5315,1.1377066223707456e-21,2.770056727953796e-23,4,2.5315,1.1377066223707456e-21
2.532,1.2662020677917756e-21,3.082747928725143e-23,4,2.532,1.2662020677917756e-21
2.5324,1.408102439173205e-21,3.428033528275962e-23,4,2.5324,1.408102439173205e-21
2.5328,1.5646820752033382e-21,3.8090322854606485e-23,4,2.5328,1.5646820752033382e-21
2.5333,1.7374429034560756e-21,4.229369235891815e-23,4,2.5333,1.7374429034560756e-21
2.5337,1.927796787143029e-21,4.6924759055362864e-23,4,2.5337,1.927796787143029e-21
2.5341,2.1374757457094103e-21,5.2026014953308494e-23,4,2.5341,2.1374757457094103e-21
2.5345,2.368216902478821e-21,5.763907393262899e-23,4,2.5345,2.368216902478821e-21
2.535,2.622035201648809e-21,6.381351936664305e-23,4,2.535,2.622035201648809e-21
2.5354,2.9009516161021804e-21,7.059799206007737e-23,4,2.5354,2.9009516161021804e-21
2.5358,3.2073504527082603e-21,7.805029593803299e-23,4,2.5358,3.2073504527082603e-21
2.5363,3.54364644221392e-21,8.622968317205818e-23,4,2.5363,3.54364644221392e-21
2.5367,3.912546526725571e-21,9.520147323861375e-23,4,2.5367,3.912546526725571e-21
2.5371,4.316954349162751e-21,1.0503663529139988e-22,4,2.5371,4.316954349162751e-21
2.5375,4.760004616695894e-21,1.1581052581532256e-22,4,2.5375,4.760004616695894e-21
2.538,5.2450170620435434e-21,1.2760434640611035e-22,4,2.538,5.2450170620435434e-21
2.5384,5.7757629618196756e-21,1.4051015145128141e-22,4,2.5384,5.7757629618196756e-21
2.5388,6.356068768140826e-21,1.5461995755646403e-22,4,2.5388,6.356068768140826e-21
2.5393,6.990277663465985e-21,1.700397416839355e-22,4,2.5393,6.990277663465985e-21
