,a0,a1,a2
5.0648800000000005,0.00037215762069609204,0.0,5.544687502065787e-05
5.06991,0.00036022031499749376,0.0,7.275022867319748e-05
5.07448,0.0003763272848307336,0.0,4.804868980734517e-05
5.08419,0.00035324254056195433,0.0,3.38245252025247e-05
5.08999,0.0003600504038964836,0.0,3.4789527309996817e-05
5.093719999999999,0.0006672770214712487,0.0,5.296678770253564e-05
5.09676,0.0008756705816917168,0.0,4.354923306895164e-05
5.09889,0.0008465114782485678,0.0,4.624059065481564e-05
5.09999,0.0008537348645147742,0.0,7.152142202764233e-05
5.10043,0.0008238969577433928,0.0,7.234455641077783e-05
5.100709999999999,0.0008249590254479944,0.0,7.153343868740989e-05
5.10288,0.0013150961044661553,0.0,0.00022296042424455644
5.1048599999999995,0.0013661223006667172,0.0,0.0002670530017673689
5.1069,0.0012787214395637455,0.0,0.00026816726277902584
5.10878,0.0012391921931985972,0.0,0.0002631339374452186
5.110040000000001,0.001240300129194687,0.0,0.0002814718952978581
5.11075,0.001156788930453971,0.0,0.0002739908035542846
5.11384,0.0010844429191612093,0.0,0.00024905030354306553
5.1188,0.0008689190779035006,0.0,0.0002415792819001658
5.1237699999999995,0.0006022226382968203,0.0,0.0001966113547003827
5.12852,0.0003402353022233215,0.0,0.00012285779720236646
5.12994,0.00035871078031294727,0.0,0.0001445708349388568
5.1338099999999995,0.00019388834587736285,0.0,5.669462995142288e-05
5.13888,0.0001726354174195416,0.0,3.3350389146909166e-05
5.14165,0.00018753999137189058,0.0,3.274333074889249e-05
5.1447400000000005,0.00018635325905587871,0.0,2.9533834034436244e-05
5.14799,0.0001951365176530117,0.0,2.460573306493526e-05
5.15001,0.00020383394698602434,0.0,3.231974282740669e-05
5.150980000000001,0.0002111167079539203,0.0,2.041726096757751e-05
5.15704,0.00022508971988417304,0.0,1.4255283642701565e-05
5.15937,0.00024027811861890202,0.0,1.8161578383294127e-05
5.17005,0.0002391002111593338,0.0,2.7672688019304268e-05
5.18984,0.0002856750309126744,0.0,1.4719410974539016e-05
5.210030000000001,0.00038332152455053083,0.0,1.2589922501442065e-05
5.23003,0.000586060014671182,0.0,-6.793182634118727e-07
5.2395,0.0008905628152411592,0.0,-2.3085738468494583e-05
5.24306,0.000965484613870713,0.0,-3.6534441579346744e-05
5.25013,0.001376441712413762,0.0,-7.303761224143123e-06
5.25994,0.0018091779884306179,0.0,-3.996972837249816e-05
5.26504,0.0018833229597189248,0.0,-6.145035991438305e-05
5.26998,0.001998445620966837,0.0,-7.283462291545832e-05
5.27496,0.0021962242750327146,0.0,-4.6044872353802335e-05
5.27502,0.00227215823913173,0.0,-7.766779390645472e-05
5.2798099999999994,0.002845198384509081,0.0,3.2213671217319625e-05
5.28495,0.0033127885119100613,0.0,0.00012935976114831352
5.29016,0.004249984303698362,0.0,0.00012411078592652596
5.29294,0.004936182678433576,0.0,0.00019994986965051452
5.29767,0.004725144183766955,0.0,0.00018979408813607772
5.29972,0.0046517922069315805,0.0,0.0002157881469311082
5.30238,0.004469637062079786,0.0,0.00028348124031380854
5.30823,0.003509634036731115,0.0,0.0002896804723477599
5.312880000000001,0.002572228881288745,0.0,0.0002989245845162353
5.31752,0.0017507079861796189,0.0,0.00029369075903717474
5.32281,0.0011462974892854246,0.0,0.00029900168985731636
5.32768,0.0007806514443685788,0.0,0.00027361805262865306
5.33288,0.0005704201090782021,0.0,0.00025590679469851275
5.33291,0.0005833968836129315,0.0,0.00026445812268758255
5.33747,0.0005147873523598302,0.0,0.00026620741389296354
5.34274,0.0004695101354640544,0.0,0.00025011208881839755
5.34293,0.00046798225544632683,0.0,0.00026682199526425896
5.34694,0.00041703540705690344,0.0,0.00021964333609948315
5.34826,0.00041312172273588185,0.0,0.0002516536206177504
5.34858,0.00040728062040678675,0.0,0.00021353291896980387
5.35205,0.00042693486272948937,0.0,0.00019725470556696003
5.3536,0.0003998147928485508,0.0,0.00023023100197686503
5.3579,0.0005234086472455745,0.0,0.00017794772932017684
5.35797,0.0005431035347371994,0.0,0.0001993444717306706
5.3598300000000005,0.0005113024762993254,0.0,0.00015827265573455023
5.36189,0.0005050884711162584,0.0,0.000165441722383351
5.36386,0.0005047010146691951,0.0,0.00016012494004961024
5.36605,0.0004994597901666927,0.0,0.00014756006756334666
5.368040000000001,0.000507302485364093,0.0,0.0001354197617464226
5.36827,0.0005043634799744238,0.0,0.00017049098244955883
5.36965,0.0005011558042635457,0.0,0.00012970159183470863
5.3714900000000005,0.0005107904902823641,0.0,0.00018603849076769585
5.373419999999999,0.0004861851679902723,0.0,0.00015696418760296742
5.3748,0.00044490212428970955,0.0,0.00012874702982787129
5.38009,0.0003709008863231977,0.0,0.00012285339084903952
5.3829199999999995,0.00035349540474762626,0.0,0.00012453683660904372
5.3833400000000005,0.0003658051667659508,0.0,0.00013316994339697738
5.383859999999999,0.00035255630664514755,0.0,0.00012337652996844063
5.38596,0.0003452782653368256,0.0,0.00011326529587735965
5.38986,0.00034231369156110424,0.0,0.00010698989473202826
5.39308,0.00034635290359576865,0.0,0.00013187358129382727
5.40341,0.0003653814873263721,0.0,0.00011859114115055217
5.41408,0.0003636316977761261,0.0,0.00013406848763107172
5.42436,0.0003484226909556932,0.0,0.00015625950702811669
5.43541,0.0003678446835631348,0.0,0.00015463928179405278
5.43926,0.00038884636286028954,0.0,0.00016780578956226695
5.4408199999999995,0.0003864987505132876,0.0,0.0001524003176144479
