Detector,Centroid,Width,Area,Area err,Runtime,A,A err,percentChange
det_h0-0,1210.63,10.1834,7865.88,97.3454,1004.73,7824.87,115.445,0.524077
det_h0-1,1313.81,12.0307,8169.78,100.051,1004.73,8130.42,118.806,0.484174
det_h0-2,1325.62,12.4566,4317.67,77.7324,1004.73,4263.18,97.6192,1.27814
det_h0-3,1307.48,12.9838,6068.25,88.8806,1004.73,5973.27,105.973,1.59009
det_h0-4,1274.42,12.4644,6147.31,89.0432,1004.73,6093,110.402,0.891416
det_h0-5,1339.11,13.6853,5436.88,86.7936,1004.73,5377.2,106.307,1.10984
det_h0-6,1320.05,12.1255,7730.27,99.1954,1004.73,7671.3,116.006,0.76865
det_h0-7,1329,12.7766,5370.01,86.8446,1004.73,5259.3,103.889,2.10516
det_h1-0,1310.54,11.8428,6102.63,89.2377,1004.73,6053.03,105.021,0.819508
det_h1-1,1325.96,11.4162,6307.15,89.8713,1004.73,6268.64,110.415,0.614277
det_h1-2,1339.03,15.6776,4677.93,81.3761,1004.73,4609.16,101.896,1.49204
det_h1-3,1309.36,14.1597,7368.89,102.289,1004.73,7311.45,141.523,0.785668
det_h1-4,1312.02,12.111,8139.45,98.927,1004.73,8088.55,115.446,0.629322
